Time,M_C,ExtFrag,IntFrag
1,0.20,47.77,0.01
2,0.36,47.68,0.02
3,0.54,47.53,0.03
4,0.70,47.37,0.04
5,0.87,47.20,0.05
6,1.04,47.03,0.06
7,1.20,46.87,0.07
8,1.37,46.70,0.08
9,1.54,46.52,0.09
10,1.70,46.36,0.10
11,1.87,46.20,0.11
12,2.03,46.03,0.12
13,2.20,45.86,0.13
14,2.36,45.70,0.14
15,2.53,45.53,0.15
16,2.70,45.36,0.16
17,2.86,45.20,0.17
18,3.03,45.03,0.18
19,3.19,44.87,0.19
20,3.35,44.70,0.20
21,3.52,44.54,0.21
22,3.69,44.37,0.22
23,3.85,44.21,0.23
24,4.02,44.05,0.24
25,4.18,43.88,0.25
26,4.41,43.65,0.26
27,4.66,43.40,0.28
28,4.93,43.13,0.29
29,5.18,42.88,0.31
30,5.43,42.63,0.32
31,5.68,42.38,0.34
32,5.93,42.13,0.35
33,6.19,41.88,0.37
34,6.44,41.62,0.39
35,6.69,41.38,0.40
36,6.94,41.12,0.42
37,7.19,40.88,0.43
38,7.43,40.62,0.45
39,7.66,40.39,0.46
40,7.91,40.14,0.47
41,8.15,39.91,0.49
42,8.40,39.66,0.50
43,8.64,39.41,0.52
44,8.88,39.17,0.53
45,9.12,38.93,0.55
46,9.37,38.69,0.56
47,9.62,38.44,0.58
48,9.87,38.19,0.59
49,10.11,37.95,0.61
50,10.36,37.70,0.62
51,10.61,37.45,0.64
52,10.85,37.20,0.65
53,11.09,36.97,0.67
54,11.34,36.72,0.68
55,11.59,36.47,0.70
56,11.84,36.22,0.71
57,12.08,35.98,0.73
58,12.33,35.73,0.74
59,12.58,35.48,0.76
60,12.83,35.24,0.77
61,13.06,35.00,0.79
62,13.32,34.75,0.80
63,13.56,34.51,0.82
64,13.80,34.27,0.83
65,14.04,34.02,0.85
66,14.29,33.78,0.86
67,14.53,33.54,0.88
68,14.77,33.30,0.89
69,15.01,33.05,0.91
70,15.25,32.81,0.92
71,15.50,32.56,0.94
72,15.74,32.33,0.95
73,15.98,32.08,0.97
74,16.22,31.84,0.98
75,16.47,31.59,1.00
76,16.71,31.35,1.01
77,16.96,31.11,1.03
78,17.19,30.87,1.04
79,17.44,30.62,1.06
80,17.68,30.38,1.07
81,17.93,30.14,1.08
82,18.17,29.90,1.10
83,18.41,29.65,1.11
84,18.65,29.41,1.13
85,18.89,29.18,1.14
86,19.13,28.93,1.16
87,19.37,28.70,1.17
88,19.62,28.45,1.19
89,19.86,28.20,1.20
90,20.10,27.95,1.22
91,20.34,27.72,1.23
92,20.59,27.47,1.25
93,20.83,27.23,1.26
94,21.07,27.00,1.28
95,21.31,26.75,1.29
96,21.55,26.52,1.30
97,21.80,26.27,1.32
98,22.03,26.03,1.33
99,22.27,25.80,1.35
100,22.51,25.55,1.36
101,22.75,25.31,1.38
102,22.99,25.08,1.39
103,23.23,24.84,1.41
104,23.48,24.59,1.42
105,23.71,24.36,1.44
106,23.96,24.11,1.45
107,24.20,23.88,1.47
108,24.43,23.63,1.48
109,24.68,23.38,1.50
110,24.92,23.14,1.51
111,25.15,22.90,1.52
112,25.40,22.66,1.54
113,25.64,22.42,1.55
114,25.88,22.18,1.57
115,26.12,21.94,1.58
116,26.36,21.70,1.60
117,31.13,16.68,2.03
118,35.51,12.27,2.56
119,35.51,12.27,2.56
120,35.51,12.27,2.56
121,35.51,12.27,2.56
122,35.51,12.27,2.56
123,35.51,12.27,2.56
124,35.51,12.27,2.56
125,35.51,12.26,2.56
126,35.51,12.26,2.56
127,35.51,12.26,2.56
128,35.51,12.26,2.56
129,35.51,12.26,2.56
130,35.51,12.26,2.56
131,35.51,12.26,2.56
132,35.51,12.26,2.56
133,35.51,12.26,2.56
134,35.51,12.26,2.56
135,35.51,12.26,2.56
136,35.51,12.26,2.56
137,35.52,12.26,2.56
138,35.52,12.26,2.56
139,35.52,12.26,2.56
140,35.52,12.26,2.56
141,35.52,12.26,2.56
142,35.52,12.26,2.56
143,35.52,12.26,2.56
144,35.52,12.26,2.56
145,35.52,12.26,2.56
146,35.52,12.26,2.56
147,35.52,12.26,2.56
148,35.52,12.26,2.56
149,35.52,12.26,2.56
150,35.52,12.26,2.56
151,35.52,12.26,2.56
152,35.52,12.26,2.56
153,35.52,12.26,2.56
154,35.52,12.26,2.56
155,35.52,12.26,2.56
156,35.52,12.26,2.56
157,35.52,12.26,2.56
158,35.52,12.26,2.56
159,35.52,12.26,2.56
160,35.52,12.26,2.56
161,35.52,12.26,2.56
162,35.52,12.26,2.56
163,35.52,12.26,2.56
164,35.52,12.26,2.56
165,35.52,12.26,2.56
166,35.52,12.26,2.56
167,35.52,12.26,2.56
168,35.52,12.26,2.56
169,35.52,12.26,2.56
170,35.52,12.26,2.56
171,35.53,12.25,2.56
172,35.53,12.25,2.56
173,35.53,12.25,2.56
174,35.53,12.25,2.56
175,35.53,12.25,2.56
176,35.53,12.25,2.56
177,35.53,12.25,2.56
178,35.53,12.25,2.56
179,35.53,12.25,2.56
180,35.53,12.25,2.56
181,35.53,12.25,2.56
182,35.53,12.25,2.56
183,35.53,12.25,2.56
184,35.53,12.25,2.56
185,35.53,12.25,2.56
186,35.53,12.25,2.56
187,35.53,12.25,2.56
188,35.53,12.25,2.56
189,35.53,12.25,2.56
190,35.53,12.25,2.56
191,35.53,12.25,2.56
192,35.53,12.25,2.56
193,35.53,12.25,2.56
194,35.53,12.25,2.56
195,35.53,12.25,2.56
196,35.53,12.25,2.56
197,35.54,12.25,2.56
198,35.54,12.25,2.56
199,35.54,12.25,2.56
200,35.54,12.25,2.56
