G,T_C,T_L,Theta,T_A,T_D
128,1163.71,36023.58,696.05,172.90,1.90
128,1118.08,34955.37,724.46,181.78,1.73
128,1099.01,34581.76,737.03,159.81,2.09
128,1070.10,34091.96,756.94,106.36,1.84
128,1112.16,35562.10,728.32,119.18,1.76
128,1083.77,34593.68,747.39,142.29,1.85
128,1096.26,34929.58,738.88,145.13,1.92
128,1125.52,35807.46,719.66,112.29,1.87
128,1093.25,34550.27,740.91,148.90,1.97
128,1077.83,34763.92,751.51,144.94,1.83
