G,T_C,T_L,Theta,T_A,T_D
128,1147.00,37912.41,706.19,106491.95,3.17
128,1098.94,36632.08,737.07,100601.50,3.18
128,1195.88,38152.01,677.32,111849.43,3.43
128,1128.05,37294.49,718.06,115212.04,2.18
128,1082.32,35427.94,748.39,122013.06,2.67
128,1161.99,38115.22,697.08,108471.26,2.82
128,1117.01,36963.74,725.15,105558.18,2.61
128,1091.43,36841.44,742.14,98984.62,2.89
128,1155.50,38089.85,700.99,101212.40,2.40
128,1073.67,36307.38,754.42,97902.45,3.61
