G,T_C,T_L,Theta,T_A,T_D,T_C_ERR,T_L_ERR,Theta_ERR,T_A_ERR,T_D_ERR
1,10.64,4.67,950.38,0.88,0.03,0.36,0.19,34.52,0.05,0.00
16,63.33,322.86,638.17,4.70,0.10,2.16,10.19,21.48,0.34,0.00
32,169.33,1675.92,536.91,15.35,0.21,5.64,45.91,18.06,1.43,0.00
256,8235.57,1141931.86,350.94,406.37,7.79,23.37,3446.09,0.99,11.42,0.14
64,376.15,6614.74,666.31,61.04,0.91,6.31,25.45,11.19,5.30,0.03
128,1103.97,34985.97,734.12,143.36,1.87,8.65,195.60,5.64,7.87,0.03
