G,T_C,T_L,Theta,T_A,T_D,T_C_ERR,T_L_ERR,Theta_ERR,T_A_ERR,T_D_ERR
1,9.94,4.40,1049.77,179.01,0.29,0.74,0.37,67.57,13.54,0.03
16,66.49,363.40,607.37,1827.63,0.41,2.10,10.55,20.40,119.91,0.02
32,145.09,1525.61,623.71,6437.89,0.60,3.49,47.06,15.71,303.88,0.02
64,383.63,7232.14,653.55,24911.69,1.17,6.59,49.07,12.16,1288.37,0.08
128,1125.18,37173.66,720.68,106829.69,2.90,12.54,288.47,7.96,2454.04,0.14
256,7299.36,1037697.87,395.96,612161.86,4.34,22.31,4872.28,1.21,5827.07,0.17
