G,T_C,T_L,Theta,T_A,T_D
256,8307.40,1142505.75,347.88,434.35,7.37
256,8227.57,1141695.92,351.26,491.36,7.46
256,8214.90,1141681.17,351.80,364.59,8.45
256,8325.98,1161338.24,347.11,404.02,7.59
256,8277.81,1148176.69,349.13,370.25,7.65
256,8180.96,1134347.42,353.26,398.52,8.58
256,8341.64,1155815.03,346.45,417.10,7.51
256,8193.99,1137592.76,352.70,387.05,8.22
256,8155.66,1127913.60,354.35,397.84,7.70
256,8129.82,1128251.99,355.48,398.64,7.35
