Time,M_C,ExtFrag,IntFrag
1,0.33,2.63,0.19
2,0.44,2.58,0.03
3,0.44,2.58,0.03
4,0.44,2.58,0.03
5,0.44,2.57,0.03
6,0.44,2.57,0.03
7,0.44,2.57,0.03
8,0.44,2.57,0.03
9,0.33,2.70,0.28
10,0.33,2.70,0.09
11,0.44,2.66,0.03
12,0.44,2.66,0.03
13,0.44,2.66,0.03
14,0.44,2.66,0.03
15,0.44,2.66,0.03
16,0.44,2.66,0.03
17,0.44,2.66,0.03
18,0.44,2.66,0.03
19,0.03,2.59,0.00
20,0.34,2.66,0.24
21,0.34,2.66,0.06
22,0.44,2.63,0.03
23,0.44,2.63,0.03
24,0.44,2.63,0.03
25,0.44,2.63,0.03
26,0.44,2.63,0.03
27,0.44,2.63,0.03
28,0.44,2.63,0.03
29,0.02,2.57,0.00
30,0.34,2.63,0.21
31,0.34,2.63,0.03
32,0.45,2.59,0.03
33,0.45,2.59,0.03
34,0.45,2.59,0.03
35,0.45,2.59,0.03
36,0.45,2.59,0.03
37,0.45,2.59,0.03
38,0.45,2.58,0.03
39,0.35,2.62,0.33
40,0.35,2.62,0.21
41,0.35,2.62,0.06
42,0.45,2.59,0.03
43,0.45,2.59,0.03
44,0.45,2.59,0.03
45,0.45,2.59,0.03
46,0.45,2.59,0.03
47,0.45,2.59,0.03
48,0.45,2.59,0.03
49,0.45,2.59,0.03
50,0.45,2.59,0.03
51,0.35,2.62,0.33
52,0.35,2.62,0.21
53,0.35,2.62,0.06
54,0.45,2.59,0.03
55,0.45,2.59,0.03
56,0.45,2.59,0.03
57,0.46,2.59,0.03
58,0.46,2.59,0.03
59,0.46,2.59,0.03
60,0.46,2.59,0.03
61,0.46,2.59,0.03
62,0.36,2.59,0.29
63,0.36,2.59,0.18
64,0.36,2.59,0.06
65,0.46,2.55,0.03
66,0.46,2.55,0.03
67,0.46,2.55,0.03
68,0.46,2.55,0.03
69,0.46,2.55,0.03
70,0.46,2.55,0.03
71,0.46,2.55,0.03
72,0.46,2.55,0.03
73,0.05,2.49,0.00
74,0.36,2.59,0.19
75,0.44,2.58,0.02
76,0.47,2.55,0.03
77,0.47,2.55,0.03
78,0.47,2.55,0.03
79,0.47,2.55,0.03
80,0.47,2.55,0.03
81,0.47,2.55,0.03
82,0.47,2.55,0.03
83,0.47,2.55,0.03
84,0.47,2.55,0.03
85,0.36,2.60,0.32
86,0.36,2.60,0.18
87,0.36,2.60,0.07
88,0.47,2.55,0.03
89,0.47,2.55,0.03
90,0.47,2.55,0.03
91,0.47,2.55,0.03
92,0.47,2.55,0.03
93,0.47,2.55,0.03
94,0.47,2.55,0.03
95,0.47,2.55,0.03
96,0.47,2.55,0.03
97,0.05,2.49,0.00
98,0.36,2.60,0.20
99,0.44,2.60,0.10
100,0.47,2.56,0.03
101,0.47,2.56,0.03
102,0.47,2.56,0.03
103,0.47,2.56,0.03
104,0.47,2.56,0.03
105,0.47,2.56,0.03
106,0.47,2.56,0.03
107,0.47,2.56,0.03
108,0.47,2.56,0.03
