G,T_C,T_L,Theta,T_A,T_D
1,7.36,3.14,1358.97,130.51,0.34
1,8.54,3.80,1171.52,142.96,0.34
1,7.99,3.45,1251.60,156.53,0.21
1,8.06,3.47,1241.36,161.79,0.21
1,9.71,4.18,1029.47,191.14,0.23
1,11.59,4.84,862.97,257.07,0.24
1,11.20,5.20,892.53,162.42,0.23
1,9.49,3.99,1053.83,219.75,0.25
1,10.16,4.87,984.02,140.23,0.39
1,15.35,7.10,651.42,227.67,0.42
