G,T_C,T_L,Theta,T_A,T_D
128,16229.91,2039202.44,15.77,1130.95,4.06
128,16411.74,2064015.34,15.60,1150.05,3.87
128,16341.11,2052390.25,15.67,1146.95,3.93
128,16392.98,2058105.10,15.62,1060.00,3.92
128,16335.76,2050193.24,15.67,1179.49,3.93
128,16261.28,2037999.94,15.74,1075.08,3.92
128,16312.08,2039698.53,15.69,1152.59,3.92
128,16297.50,2046915.21,15.71,1099.63,3.87
128,16387.70,2057719.03,15.62,1026.67,3.90
128,16295.07,2045693.99,15.71,1056.50,3.92
