Time,M_C,ExtFrag,IntFrag
1,1.71,141.18,1.23
6,1.76,141.21,1.25
7,1.78,141.17,1.18
8,1.83,141.16,1.05
9,1.86,140.80,0.95
10,1.90,140.17,0.84
11,1.93,139.57,0.74
12,1.96,139.06,0.64
13,2.00,138.42,0.54
14,2.03,137.80,0.44
15,2.07,137.20,0.34
16,2.10,136.62,0.25
17,3.11,136.22,1.19
18,3.15,135.66,1.08
19,3.18,135.16,0.99
20,3.21,134.72,0.91
21,3.23,134.24,0.83
22,3.26,133.84,0.75
23,3.28,133.43,0.68
24,3.31,132.96,0.61
25,3.33,132.55,0.54
26,3.35,132.09,0.46
27,3.38,131.74,0.39
28,3.40,131.35,0.33
29,3.42,130.97,0.26
30,4.43,130.59,1.22
31,4.46,130.38,1.15
32,4.48,129.88,1.08
33,4.51,129.53,1.01
34,4.53,129.12,0.95
35,4.55,128.77,0.88
36,4.57,128.37,0.82
37,4.59,127.98,0.75
38,4.61,127.64,0.70
39,4.64,127.30,0.63
40,4.65,126.92,0.58
41,4.67,126.64,0.52
42,4.69,126.28,0.46
43,4.71,125.93,0.41
44,4.73,125.62,0.36
45,4.75,125.30,0.30
46,4.77,124.99,0.25
47,5.78,124.67,1.22
48,5.80,124.52,1.17
49,5.81,124.20,1.12
50,5.83,123.92,1.07
51,5.85,123.61,1.02
52,5.87,123.22,0.97
53,5.88,122.87,0.92
54,5.90,122.54,0.87
55,5.91,122.25,0.83
56,5.93,121.99,0.78
57,5.94,121.71,0.74
58,5.96,121.46,0.69
59,5.97,121.21,0.65
60,5.99,120.93,0.61
61,6.00,120.70,0.56
62,6.02,120.45,0.52
63,6.03,120.17,0.48
64,6.05,119.95,0.44
65,6.06,119.73,0.40
66,6.08,119.45,0.36
67,6.09,119.22,0.32
68,6.10,118.99,0.28
69,6.11,118.77,0.25
70,7.12,118.55,1.23
71,7.14,118.42,1.19
72,7.15,118.14,1.14
73,7.16,117.84,1.11
74,7.17,117.55,1.07
75,7.19,117.33,1.04
76,7.20,117.09,1.00
77,7.21,116.85,0.97
78,7.22,116.62,0.93
79,7.24,116.38,0.89
80,7.25,116.18,0.86
81,7.26,115.95,0.82
82,7.28,115.73,0.79
83,7.29,115.54,0.75
84,7.30,115.35,0.72
85,7.31,115.12,0.69
86,7.32,114.94,0.65
87,7.33,114.75,0.62
88,7.35,114.56,0.59
89,7.36,114.38,0.55
90,7.37,114.15,0.52
91,7.38,113.96,0.49
92,7.39,113.80,0.46
93,7.40,113.62,0.43
94,7.41,113.43,0.40
95,7.42,113.24,0.37
96,7.43,113.07,0.33
97,7.44,112.83,0.30
98,7.45,112.66,0.28
99,7.46,112.48,0.25
100,8.47,112.33,1.23
101,8.48,112.19,1.21
102,8.49,112.01,1.18
103,8.50,111.82,1.15
104,8.51,111.60,1.12
105,8.52,111.45,1.09
106,8.53,111.26,1.06
107,8.54,111.07,1.03
108,8.54,110.86,1.01
109,8.55,110.73,0.98
110,8.56,110.58,0.95
111,8.57,110.42,0.93
112,8.58,110.26,0.90
113,8.59,110.10,0.87
114,8.60,109.91,0.84
115,8.61,109.74,0.82
116,8.62,109.62,0.79
117,8.63,109.45,0.77
118,8.64,109.30,0.74
119,8.65,109.14,0.72
120,8.65,109.02,0.70
121,8.66,108.88,0.67
122,8.67,108.72,0.65
123,8.68,108.56,0.62
124,8.69,108.44,0.60
125,8.70,108.28,0.57
126,8.71,108.16,0.55
127,8.71,107.99,0.52
128,8.72,107.87,0.50
129,8.73,107.68,0.47
130,8.74,107.55,0.45
131,8.75,107.38,0.43
132,8.76,107.22,0.40
133,8.77,107.07,0.37
134,8.77,106.91,0.35
135,8.78,106.72,0.33
136,8.79,106.58,0.30
137,8.80,106.43,0.28
138,8.81,106.25,0.26
139,9.81,106.12,1.24
140,9.82,106.12,1.22
141,9.83,105.94,1.20
142,9.83,105.76,1.18
143,9.84,105.60,1.15
144,9.85,105.47,1.13
145,9.86,105.34,1.11
146,9.87,105.22,1.09
147,9.87,105.09,1.07
148,9.88,104.95,1.04
149,9.89,104.79,1.02
150,9.90,104.66,1.00
151,9.90,104.54,0.98
