G,T_C,T_L,Theta,T_A,T_D
1,379.18,373.10,5.27,1.49,0.04
1,432.42,425.13,4.63,1.46,0.04
1,399.60,393.42,5.01,1.23,0.04
1,395.17,388.82,5.06,1.25,0.04
1,436.19,429.79,4.59,1.18,0.06
1,410.84,405.04,4.87,1.28,0.04
1,413.16,406.44,4.84,1.35,0.04
1,422.27,414.94,4.74,1.47,0.04
1,400.47,394.65,4.99,1.45,0.04
1,424.99,418.29,4.71,1.19,0.04
