G,T_C,T_L,Theta,T_A,T_D,T_C_ERR,T_L_ERR,Theta_ERR,T_A_ERR,T_D_ERR
1,411.43,404.96,4.87,1.34,0.04,5.70,5.60,0.07,0.04,0.00
16,1015.14,15530.74,31.52,78.05,0.48,2.29,27.50,0.07,1.44,0.02
32,2212.58,67742.50,28.93,246.57,0.96,11.89,408.65,0.16,4.91,0.00
64,6566.83,408919.80,19.49,584.17,1.94,7.79,508.34,0.02,12.51,0.00
128,16326.51,2049193.31,15.68,1107.79,3.92,18.66,2820.00,0.02,16.21,0.02
256,36418.78,9173207.58,14.06,2106.80,7.96,80.53,21553.86,0.03,23.80,0.03
