G,T_C,T_L,Theta,T_A,T_D
32,2306.13,70550.98,27.75,84.66,15.62
32,2329.46,71372.81,27.47,86.52,14.80
32,2306.97,70237.42,27.74,84.85,16.39
32,2305.97,70581.87,27.75,85.69,14.33
32,2295.50,70082.73,27.88,84.64,14.84
32,2326.84,70732.38,27.51,86.20,14.70
32,2310.64,69478.02,27.70,84.67,15.37
32,2298.07,69345.78,27.85,85.05,14.61
32,2336.83,71560.52,27.39,86.66,15.14
32,2332.28,71328.39,27.44,86.23,16.69
