Time,M_C,ExtFrag,IntFrag
1,1.38,72.38,1.12
3,1.38,72.41,1.12
4,1.38,72.41,1.12
5,1.43,72.36,0.97
6,1.47,72.15,0.86
7,1.50,71.54,0.76
8,1.53,70.95,0.66
9,1.56,70.41,0.56
10,1.59,69.84,0.46
11,1.62,69.35,0.38
12,1.64,68.95,0.30
13,1.67,68.51,0.23
14,1.69,68.16,0.17
15,2.70,67.82,1.12
16,2.72,67.66,1.09
17,2.74,67.26,1.03
18,2.76,66.94,0.97
19,2.78,66.62,0.92
20,2.79,66.31,0.87
21,2.81,66.06,0.81
22,2.83,65.75,0.77
23,2.84,65.53,0.72
24,2.86,65.22,0.67
25,2.87,65.00,0.63
26,2.89,64.75,0.59
27,2.90,64.47,0.54
28,2.92,64.28,0.50
29,2.93,63.98,0.46
30,2.95,63.83,0.42
31,2.96,63.58,0.38
32,2.97,63.36,0.35
33,2.98,63.17,0.31
34,3.00,62.95,0.27
35,3.01,62.71,0.24
36,3.02,62.52,0.20
37,3.03,62.30,0.17
38,3.04,62.10,0.14
39,4.05,61.90,1.12
40,4.06,61.77,1.08
41,4.08,61.62,1.05
42,4.09,61.43,1.02
43,4.10,61.21,0.99
44,4.11,61.05,0.96
45,4.12,60.87,0.92
46,4.13,60.68,0.90
47,4.14,60.49,0.87
48,4.15,60.29,0.84
49,4.16,60.13,0.81
50,4.17,59.97,0.78
51,4.18,59.77,0.75
52,4.19,59.57,0.72
53,4.20,59.35,0.69
54,4.21,59.23,0.67
55,4.22,59.05,0.64
56,4.23,58.88,0.61
57,4.24,58.70,0.58
58,4.25,58.57,0.56
59,4.26,58.36,0.53
60,4.26,58.18,0.51
61,4.27,58.05,0.48
62,4.28,57.84,0.45
63,4.29,57.68,0.43
64,4.30,57.59,0.40
65,4.31,57.43,0.38
66,4.32,57.30,0.35
67,4.33,57.15,0.33
68,4.33,56.98,0.30
69,4.34,56.81,0.28
70,4.35,56.68,0.26
71,4.36,56.49,0.23
72,4.37,56.40,0.21
73,4.37,56.24,0.19
74,4.38,56.09,0.16
75,4.39,55.93,0.14
76,5.40,55.80,1.12
77,5.41,55.70,1.11
78,5.42,55.61,1.08
79,5.42,55.45,1.06
80,5.43,55.33,1.04
81,5.44,55.17,1.02
82,5.45,55.08,0.99
83,5.45,54.95,0.97
84,5.46,54.80,0.95
85,5.47,54.68,0.93
86,5.48,54.55,0.91
87,5.48,54.43,0.89
88,5.49,54.21,0.87
89,5.50,54.12,0.85
90,5.50,53.96,0.82
91,5.51,53.87,0.80
92,5.52,53.73,0.78
93,5.53,53.63,0.76
94,5.53,53.51,0.74
95,5.54,53.38,0.72
96,5.55,53.28,0.71
97,5.55,53.16,0.68
98,5.56,53.03,0.67
99,5.57,52.94,0.65
100,5.57,52.81,0.63
101,5.58,52.69,0.61
102,5.59,52.56,0.59
103,5.59,52.45,0.57
104,5.60,52.32,0.55
105,5.61,52.23,0.53
106,5.61,52.10,0.51
107,5.62,51.99,0.49
108,5.63,51.88,0.47
109,5.63,51.76,0.46
110,5.64,51.62,0.44
111,5.65,51.52,0.42
112,5.65,51.42,0.40
113,5.66,51.33,0.38
114,5.66,51.20,0.37
115,5.67,51.11,0.35
116,5.68,50.97,0.33
117,5.68,50.88,0.31
118,5.69,50.77,0.30
119,5.70,50.68,0.28
120,5.70,50.55,0.26
121,5.71,50.41,0.24
122,5.71,50.31,0.23
123,5.72,50.17,0.21
124,5.73,50.07,0.19
125,5.73,50.01,0.18
126,5.74,49.88,0.16
