G,T_C,T_L,Theta,T_A,T_D,T_C_ERR,T_L_ERR,Theta_ERR,T_A_ERR,T_D_ERR
1,382.39,376.77,5.23,1.01,0.65,3.52,3.44,0.05,0.03,0.03
16,1031.33,15736.62,31.03,26.88,7.65,3.23,50.46,0.10,0.19,0.15
32,2314.87,70527.09,27.65,85.52,15.25,4.75,241.49,0.06,0.26,0.25
64,6648.41,408303.41,19.25,228.42,39.46,4.25,2440.74,0.01,0.33,0.68
128,15933.28,1988460.37,16.07,528.40,86.64,7.00,1358.52,0.01,0.73,0.78
256,35217.01,8828441.14,14.54,1089.03,179.78,64.16,17819.96,0.03,3.82,1.37
