G,T_C,T_L,Theta,T_A,T_D
256,36534.16,9195504.79,14.01,2094.82,8.04
256,36154.93,9104075.78,14.16,2158.15,7.95
256,36933.81,9314462.50,13.86,2054.60,7.85
256,36483.82,9196806.80,14.03,2030.43,7.89
256,36539.26,9209661.67,14.01,2164.89,7.93
256,36212.42,9101915.62,14.14,2016.03,8.12
256,36635.28,9223270.80,13.98,2210.60,7.87
256,36194.90,9116617.95,14.15,2213.81,8.07
256,36349.31,9156865.96,14.09,2092.89,8.01
256,36149.96,9112893.92,14.16,2031.82,7.85
