G,T_C,T_L,Theta,T_A,T_D
256,35242.68,8844508.80,14.53,1089.65,173.17
256,35075.86,8802557.48,14.60,1093.52,180.60
256,35309.77,8834075.64,14.50,1088.96,182.54
256,34974.57,8742687.20,14.64,1103.76,183.38
256,35229.85,8842908.68,14.53,1089.30,177.42
256,35154.40,8812501.90,14.56,1092.16,187.68
256,35712.29,8965264.00,14.34,1058.26,182.02
256,35195.82,8815400.76,14.55,1084.93,177.02
256,35237.36,8826181.55,14.53,1090.96,178.79
256,35037.52,8798325.42,14.61,1098.86,175.15
