G,T_C,T_L,Theta,T_A,T_D
16,140.46,3146.08,1139.12,30.17,3.71
16,114.37,2543.27,1398.94,22.10,4.92
16,121.18,2752.29,1320.35,23.37,4.28
16,142.82,3253.25,1120.25,28.39,3.96
16,136.42,3069.81,1172.83,27.08,4.53
16,128.46,2886.38,1245.48,25.07,4.03
16,128.16,2862.24,1248.40,24.77,4.75
16,142.02,3205.19,1126.58,28.26,4.11
16,131.90,3034.16,1213.04,25.91,3.72
16,143.93,3208.75,1111.62,28.19,5.80
