G,T_C,T_L,Theta,T_A,T_D,T_C_ERR,T_L_ERR,Theta_ERR,T_A_ERR,T_D_ERR
1,5.54,4.69,1815.75,0.57,0.11,0.14,0.08,46.90,0.02,0.00
16,142.67,3149.07,1130.36,23.23,2.13,4.22,97.40,33.47,0.70,0.05
32,281.83,12952.55,1140.23,51.80,4.28,5.80,265.32,25.98,1.41,0.13
64,596.65,54774.00,1072.92,138.90,9.46,3.09,324.89,5.69,3.65,0.26
128,1097.38,199122.01,1166.89,768.86,28.13,7.33,1049.15,7.81,16.72,2.82
256,1878.07,665931.92,1363.82,3277.84,122.56,14.31,2681.43,10.41,107.48,9.33
