Time,M_C,ExtFrag,IntFrag
1,0.44,99.84,0.00
2,0.75,99.55,0.00
3,1.03,99.30,0.00
4,1.34,98.95,0.00
5,1.63,98.67,0.00
6,1.99,98.30,0.00
7,2.34,97.91,0.00
8,2.68,97.59,0.00
9,2.96,97.29,0.00
10,3.27,96.99,0.00
11,3.56,96.68,0.00
12,3.85,96.42,0.00
13,4.15,96.12,0.00
14,4.47,95.75,0.00
15,4.75,95.45,0.00
16,5.05,95.20,0.00
17,5.37,94.84,0.01
18,5.68,94.52,0.01
19,5.98,94.23,0.01
20,6.26,93.95,0.01
21,6.58,93.60,0.01
22,6.89,93.29,0.01
23,7.17,93.00,0.01
24,7.45,92.67,0.01
25,7.75,92.41,0.01
26,8.06,92.06,0.01
27,8.37,91.76,0.01
28,8.68,91.48,0.01
29,9.00,91.12,0.01
30,9.30,90.85,0.01
31,9.64,90.47,0.01
32,9.95,90.16,0.01
33,10.22,89.89,0.01
34,10.52,89.61,0.01
35,10.90,89.20,0.01
36,11.20,88.88,0.01
37,11.49,88.62,0.01
38,11.79,88.27,0.01
39,12.08,88.00,0.01
40,12.41,87.67,0.01
41,12.74,87.31,0.01
42,13.04,87.02,0.01
43,13.33,86.72,0.01
44,13.60,86.42,0.01
45,13.90,86.12,0.01
46,14.17,85.88,0.01
47,14.50,85.52,0.01
48,14.84,85.22,0.01
49,15.15,84.86,0.01
50,15.45,84.54,0.01
51,15.75,84.25,0.02
52,16.04,83.97,0.02
53,16.35,83.66,0.02
54,16.65,83.33,0.02
55,16.94,83.04,0.02
56,17.28,82.66,0.02
57,17.59,82.35,0.02
58,17.92,82.04,0.02
59,18.28,81.66,0.02
60,18.58,81.37,0.02
61,18.91,81.02,0.02
62,19.24,80.70,0.02
63,19.55,80.38,0.02
64,19.85,80.11,0.02
65,20.15,79.76,0.02
66,20.45,79.47,0.02
67,20.73,79.19,0.02
68,21.01,78.89,0.02
69,21.28,78.61,0.02
70,21.64,78.27,0.02
71,21.94,77.95,0.02
72,22.24,77.66,0.02
73,22.54,77.37,0.02
74,22.82,77.02,0.02
75,23.11,76.77,0.02
76,23.40,76.48,0.02
77,23.70,76.16,0.02
78,24.00,75.87,0.02
79,24.30,75.55,0.02
80,24.58,75.27,0.02
81,24.88,74.96,0.02
82,25.23,74.63,0.02
83,25.53,74.29,0.02
84,25.82,74.02,0.02
85,26.14,73.66,0.03
86,26.46,73.37,0.03
87,26.75,73.07,0.03
88,27.07,72.73,0.03
89,27.36,72.46,0.03
90,27.65,72.15,0.03
91,27.94,71.86,0.03
92,28.24,71.56,0.03
93,28.53,71.27,0.03
94,28.82,70.95,0.03
95,29.18,70.60,0.03
96,29.53,70.23,0.03
97,29.88,69.88,0.03
98,30.21,69.53,0.03
99,30.51,69.28,0.03
100,30.81,68.95,0.03
101,31.10,68.67,0.03
102,31.44,68.30,0.03
103,31.77,67.97,0.03
104,32.10,67.64,0.03
105,32.38,67.34,0.03
106,32.68,67.05,0.03
107,32.99,66.75,0.03
108,33.29,66.43,0.03
109,33.60,66.13,0.03
110,33.90,65.78,0.03
111,34.21,65.50,0.03
112,34.52,65.20,0.03
113,34.82,64.84,0.03
114,35.15,64.52,0.03
115,35.45,64.22,0.03
116,35.80,63.87,0.03
117,36.10,63.57,0.03
118,36.40,63.29,0.04
119,36.70,62.95,0.04
120,37.02,62.64,0.04
121,37.30,62.30,0.04
122,37.60,62.08,0.04
123,37.89,61.73,0.04
124,38.26,61.39,0.04
125,38.55,61.07,0.04
126,38.85,60.80,0.04
127,39.17,60.42,0.04
128,39.45,60.17,0.04
129,39.76,59.85,0.04
130,40.09,59.51,0.04
131,40.39,59.21,0.04
132,40.68,58.92,0.04
133,41.01,58.58,0.04
134,41.30,58.28,0.04
135,41.60,57.99,0.04
136,41.90,57.67,0.04
137,42.25,57.33,0.04
138,42.58,56.97,0.04
139,42.86,56.70,0.04
140,43.14,56.43,0.04
141,43.47,56.09,0.04
142,43.76,55.78,0.04
143,44.05,55.48,0.04
144,44.35,55.17,0.04
145,44.69,54.84,0.04
146,45.03,54.51,0.04
147,45.37,54.15,0.04
148,45.68,53.83,0.04
149,45.95,53.57,0.04
150,46.27,53.23,0.04
151,46.56,52.95,0.04
152,46.84,52.68,0.05
153,47.14,52.35,0.05
154,47.47,52.05,0.05
155,47.76,51.75,0.05
156,48.09,51.40,0.05
157,48.42,51.06,0.05
158,48.77,50.69,0.05
159,49.07,50.41,0.05
160,49.36,50.09,0.05
161,49.67,49.77,0.05
162,50.04,49.41,0.05
163,50.37,49.08,0.05
164,50.66,48.78,0.05
165,50.94,48.48,0.05
166,51.25,48.22,0.05
167,51.55,47.89,0.05
168,51.84,47.59,0.05
169,52.14,47.27,0.05
170,52.47,46.97,0.05
171,52.81,46.64,0.05
172,53.07,46.35,0.05
173,53.37,46.05,0.05
174,53.69,45.67,0.05
175,54.00,45.38,0.05
176,54.33,45.08,0.05
177,54.63,44.73,0.05
178,54.93,44.46,0.05
179,55.22,44.18,0.05
180,55.51,43.87,0.05
181,55.82,43.53,0.05
182,56.14,43.16,0.05
183,56.47,42.88,0.05
184,56.77,42.59,0.05
185,57.07,42.27,0.06
186,57.39,41.97,0.06
187,57.69,41.64,0.06
188,58.01,41.32,0.06
189,58.30,41.02,0.06
190,58.58,40.74,0.06
191,58.89,40.38,0.06
192,59.18,40.14,0.06
193,59.49,39.82,0.06
194,59.82,39.47,0.06
195,60.16,39.10,0.06
196,60.45,38.81,0.06
197,60.79,38.48,0.06
198,61.10,38.15,0.06
199,61.39,37.89,0.06
200,61.72,37.55,0.06
201,62.04,37.21,0.06
202,62.33,36.94,0.06
203,62.62,36.63,0.06
204,62.93,36.34,0.06
205,63.25,36.02,0.06
206,63.57,35.68,0.06
207,63.86,35.38,0.06
208,64.16,35.09,0.06
209,64.47,34.73,0.06
210,64.76,34.48,0.06
211,65.06,34.15,0.06
212,65.37,33.86,0.06
213,65.72,33.47,0.06
214,66.06,33.13,0.06
215,66.38,32.82,0.06
216,66.71,32.51,0.06
217,67.01,32.18,0.06
218,67.31,31.88,0.06
219,67.60,31.58,0.07
220,67.87,31.31,0.07
221,68.18,31.02,0.07
222,68.47,30.71,0.07
223,68.77,30.38,0.07
224,69.09,30.06,0.07
225,69.40,29.75,0.07
226,69.73,29.44,0.07
227,70.01,29.11,0.07
228,70.29,28.83,0.07
229,70.57,28.59,0.07
230,70.85,28.27,0.07
231,71.15,27.96,0.07
232,71.45,27.66,0.07
233,71.75,27.35,0.07
234,72.04,27.09,0.07
235,72.35,26.79,0.07
236,72.61,26.47,0.07
237,72.90,26.19,0.07
238,73.18,25.90,0.07
239,73.46,25.64,0.07
240,73.73,25.34,0.07
241,74.05,25.02,0.07
242,74.33,24.77,0.07
243,74.62,24.44,0.07
244,74.94,24.11,0.07
245,75.22,23.85,0.07
246,75.49,23.57,0.07
247,75.80,23.26,0.07
248,76.09,22.94,0.07
249,76.40,22.66,0.07
250,76.70,22.36,0.07
251,77.01,22.03,0.07
252,77.31,21.70,0.07
253,77.63,21.37,0.07
254,77.94,21.06,0.08
255,78.28,20.74,0.08
256,78.60,20.39,0.08
257,78.92,20.06,0.08
258,79.20,19.79,0.08
259,79.49,19.47,0.08
260,79.79,19.19,0.08
261,80.09,18.89,0.08
262,80.38,18.58,0.08
263,80.67,18.30,0.08
264,80.97,17.99,0.08
265,81.25,17.71,0.08
266,81.54,17.42,0.08
267,81.88,17.07,0.08
268,82.20,16.77,0.08
269,82.48,16.47,0.08
270,82.78,16.19,0.08
271,83.07,15.86,0.08
272,83.36,15.58,0.08
273,83.67,15.24,0.08
274,83.98,14.93,0.08
275,84.30,14.62,0.08
276,84.60,14.31,0.08
277,84.90,14.00,0.08
278,85.20,13.69,0.08
279,85.51,13.42,0.08
280,85.76,13.13,0.08
281,86.01,12.89,0.08
282,86.30,12.60,0.08
283,86.57,12.33,0.08
284,86.80,12.11,0.08
285,87.03,11.90,0.08
286,87.27,11.65,0.08
287,87.55,11.38,0.08
288,87.80,11.12,0.08
289,88.03,10.85,0.09
290,81.47,17.62,0.08
291,73.44,25.79,0.07
292,64.08,35.30,0.06
293,53.72,45.82,0.05
294,45.11,54.56,0.04
295,36.58,63.23,0.04
296,26.43,73.54,0.03
297,15.27,84.88,0.01
298,3.11,97.23,0.00
299,0.39,99.95,0.00
300,0.67,99.71,0.00
301,0.98,99.40,0.00
302,1.31,99.05,0.00
303,1.59,98.73,0.00
304,1.88,98.46,0.00
305,2.17,98.15,0.00
306,2.50,97.83,0.00
307,2.85,97.46,0.00
308,3.14,97.20,0.00
309,3.48,96.87,0.00
310,3.80,96.48,0.00
311,4.09,96.22,0.00
312,4.41,95.88,0.00
313,4.75,95.55,0.00
314,5.09,95.21,0.00
315,5.40,94.89,0.01
316,5.70,94.55,0.01
317,6.01,94.27,0.01
318,6.37,93.88,0.01
319,6.69,93.59,0.01
320,7.03,93.21,0.01
321,7.33,92.94,0.01
322,7.62,92.63,0.01
323,7.91,92.33,0.01
324,8.20,92.03,0.01
325,8.50,91.76,0.01
326,8.81,91.43,0.01
327,9.11,91.14,0.01
328,9.41,90.78,0.01
329,9.73,90.49,0.01
330,10.03,90.19,0.01
331,10.37,89.82,0.01
332,10.65,89.56,0.01
333,10.98,89.19,0.01
334,11.30,88.92,0.01
335,11.60,88.62,0.01
336,11.95,88.21,0.01
337,12.29,87.88,0.01
338,12.62,87.60,0.01
339,12.92,87.23,0.01
340,13.20,86.98,0.01
341,13.54,86.59,0.01
342,13.85,86.32,0.01
343,14.18,85.97,0.01
344,14.49,85.66,0.01
345,14.82,85.32,0.01
346,15.11,85.05,0.01
