G,T_C,T_L,Theta,T_A,T_D,T_C_ERR,T_L_ERR,Theta_ERR,T_A_ERR,T_D_ERR
1,3.40,3.90,2969.94,0.63,0.37,0.12,0.14,95.71,0.02,0.02
16,132.97,2996.14,1209.66,26.33,4.38,3.16,72.95,30.13,0.80,0.20
32,257.75,12044.74,1249.65,53.88,8.70,6.96,296.30,33.66,1.76,0.48
64,547.41,50600.89,1169.42,133.17,17.89,2.83,316.17,6.05,1.75,0.57
128,1040.62,189511.62,1231.28,649.71,34.73,10.63,1940.16,13.62,21.29,1.49
256,1766.49,632262.99,1449.31,2659.66,65.82,5.12,815.22,4.21,71.47,2.36
