G,T_C,T_L,Theta,T_A,T_D
32,268.41,12187.96,1192.20,49.55,4.59
32,238.25,11069.53,1343.14,45.85,4.24
32,296.70,13750.41,1078.54,51.80,4.31
32,269.25,12346.35,1188.50,48.11,4.06
32,295.85,13632.89,1081.62,53.30,4.00
32,290.50,13260.50,1101.55,53.26,4.20
32,284.96,13091.41,1122.98,50.52,3.96
32,290.58,13507.84,1101.23,50.38,3.84
32,289.76,13248.47,1104.37,62.58,5.26
32,294.07,13430.17,1088.16,52.65,4.35
