G,T_C,T_L,Theta,T_A,T_D
256,1800.86,655529.85,1421.54,3096.81,110.58
256,1871.10,661701.40,1368.18,3440.95,177.53
256,1936.72,680397.88,1321.82,3416.75,91.59
256,1844.12,661542.63,1388.20,3576.00,90.85
256,1849.00,668230.77,1384.53,3823.33,112.05
256,1845.97,657125.91,1386.80,3337.40,85.97
256,1937.79,677797.96,1321.10,2891.90,136.05
256,1926.05,672392.49,1329.14,3413.80,149.08
256,1886.45,662901.11,1357.04,3118.68,134.21
256,1882.59,661699.23,1359.83,2662.80,137.73
