,G,T_C,T_L,Theta,T_A,T_D,T_C_p,T_L_p,Theta_p,T_A_p,T_D_p
0,1,-3.6053067411023476,-0.27247717888950346,3.7349817578515276,7.494153565436039,18.770413242231317,0.005700898617287273,0.7914034516948931,0.004661465135632112,3.715469312084432e-05,1.5877596207168882e-08
1,16,0.5416286312510926,-0.4361145336048987,-0.5184571094463343,21.208634414449506,13.58710733302304,0.6012233878758795,0.6730275657906665,0.6166439474411773,5.408216350026471e-09,2.655398161585963e-07
2,32,0.573629321680143,0.6582041937363055,-0.6074829686920648,5.941502727532056,14.551477632369407,0.5802682379195627,0.526883249803054,0.5585443629597471,0.00021760940600216392,1.468017469176391e-07
3,64,0.343740634920274,0.17985215266581253,-0.32611585511917973,13.511100348105366,15.679016434989899,0.7389354194712212,0.8612528876838151,0.751791869444572,2.786916929025053e-07,7.67544308325644e-08
4,128,-2.631963515988403,-0.7983960954352832,2.6401127086654617,4.3058657792377275,12.470670277463773,0.02727072008299014,0.4451964761458844,0.0269088063303956,0.0019736081458010426,5.544605138480572e-07
5,256,0.7814516928640531,-0.7660791373738199,-0.8094711856084239,-6.378558178361611,8.61132080321549,0.45460160822524476,0.46324717114093084,0.43911996574276724,0.00012847347713728017,1.223384228440027e-05
