G,T_C,T_L,Theta,T_A,T_D
32,71.24,34.50,44.92,2.62,1.03
32,109.19,55.84,29.31,7.25,0.79
32,294.16,74.96,10.88,6.76,0.76
32,296.31,73.24,10.80,6.14,0.91
32,107.95,44.26,29.64,4.03,0.97
32,70.38,27.80,45.47,2.79,1.06
32,64.87,28.41,49.33,2.72,0.98
32,72.23,35.77,44.30,2.82,0.91
32,151.69,57.43,21.10,5.03,1.01
32,294.56,76.31,10.86,4.72,0.99
