G,T_C,T_L,Theta,T_A,T_D,T_C_ERR,T_L_ERR,Theta_ERR,T_A_ERR,T_D_ERR
1,4.99,0.60,20.08,0.04,0.01,0.09,0.02,0.37,0.00,0.00
128,2196.80,136.34,5.83,9.44,1.51,6.52,2.61,0.02,0.30,0.05
256,5199.51,285.60,4.94,29.50,3.20,95.36,8.30,0.11,0.65,0.11
32,124.36,44.16,34.19,1.26,0.37,29.07,6.00,4.11,0.12,0.03
64,1100.39,70.91,5.82,2.54,0.66,3.81,2.04,0.02,0.07,0.01
16,67.47,15.64,37.83,0.63,0.19,21.55,0.36,4.94,0.03,0.02
