G,T_C,T_L,Theta,T_A,T_D
16,36.93,13.20,43.33,0.59,0.15
16,35.13,14.50,45.55,0.57,0.21
16,35.94,15.83,44.52,0.56,0.16
16,35.41,15.73,45.18,0.85,0.26
16,35.14,16.38,45.53,0.56,0.16
16,35.39,15.33,45.21,0.56,0.15
16,34.87,16.00,45.88,0.56,0.16
16,34.28,15.51,46.67,0.74,0.30
16,178.53,17.22,8.96,0.66,0.16
16,213.11,16.72,7.51,0.69,0.16
