G,T_C,T_L,Theta,T_A,T_D
256,5289.97,277.94,4.84,28.40,2.90
256,5307.43,269.33,4.82,30.63,3.69
256,5299.38,274.62,4.83,30.35,2.82
256,5344.72,344.01,4.79,33.11,3.50
256,5301.15,296.46,4.83,30.34,3.09
256,5297.07,275.26,4.83,28.54,3.00
256,5261.53,243.64,4.87,25.90,2.89
256,5296.12,301.51,4.83,29.97,3.26
256,4344.17,279.34,5.89,30.66,3.02
256,5253.55,293.88,4.87,27.07,3.82
