Time,M_C,ExtFrag,IntFrag
1,6.38,16.89,6.30
2,6.59,16.46,6.49
3,6.62,15.59,6.44
4,6.75,15.59,6.20
5,6.87,15.56,5.98
6,7.02,15.56,5.72
7,7.16,15.56,5.46
8,7.31,15.51,5.20
9,7.41,15.38,5.01
10,7.55,15.22,4.75
11,7.70,14.97,4.49
12,7.84,14.85,4.23
13,7.94,14.84,4.06
14,8.08,14.69,3.80
15,8.23,14.48,3.54
16,8.27,14.38,3.27
17,5.73,14.52,3.09
18,5.25,14.63,3.03
19,5.27,14.63,2.98
20,5.28,14.63,2.93
21,5.30,14.63,2.88
22,5.32,14.62,2.82
23,5.34,14.62,2.77
24,5.36,14.61,2.72
25,5.37,14.60,2.67
26,5.39,14.59,2.61
27,5.41,14.59,2.56
28,5.43,14.57,2.51
29,5.45,14.56,2.45
30,5.46,14.55,2.40
31,5.48,14.53,2.35
32,5.50,14.51,2.30
33,5.52,14.49,2.25
34,5.54,14.47,2.19
35,5.55,14.47,2.14
36,5.57,14.45,2.09
37,5.59,14.42,2.04
38,5.61,14.38,1.99
39,5.63,14.38,1.93
40,5.65,14.37,1.87
41,5.67,14.31,1.81
42,5.69,14.31,1.75
43,5.71,14.29,1.70
44,5.72,14.28,1.65
45,5.74,14.26,1.60
46,5.76,14.26,1.54
47,5.78,14.22,1.49
48,5.80,14.20,1.43
49,5.82,14.19,1.36
50,5.84,14.16,1.30
51,5.86,14.15,1.25
52,5.88,14.12,1.20
53,5.90,14.12,1.14
54,5.92,14.10,1.08
55,5.93,14.07,1.03
56,5.95,14.06,0.98
57,5.97,14.04,0.93
58,5.98,14.02,0.88
59,6.00,14.02,0.83
60,6.02,13.98,0.78
61,6.03,13.98,0.74
62,6.05,13.97,0.69
63,6.07,13.95,0.64
64,6.09,13.91,0.58
65,6.11,13.88,0.51
66,6.13,13.88,0.45
67,6.16,13.87,0.38
68,6.17,13.84,0.33
69,6.19,13.82,0.28
70,6.21,13.81,0.23
71,6.23,13.79,0.17
72,6.24,13.78,0.12
73,6.26,13.73,0.06
74,3.03,13.71,0.01
75,5.57,17.05,5.49
76,5.57,17.05,5.49
77,5.57,17.05,5.49
78,6.74,15.84,6.26
79,6.84,15.70,6.07
80,6.97,15.70,5.83
81,7.08,15.69,5.63
82,7.22,15.66,5.39
83,7.35,15.56,5.15
84,7.49,15.43,4.91
85,7.59,15.26,4.71
86,7.73,15.12,4.47
87,7.86,14.98,4.23
88,7.99,14.90,3.99
89,8.10,14.76,3.79
90,8.24,14.59,3.54
91,8.37,14.50,3.30
92,6.16,14.40,3.08
93,5.27,14.65,3.03
94,5.28,14.65,2.98
95,5.30,14.65,2.94
96,5.31,14.65,2.91
97,5.32,14.65,2.87
98,5.33,14.65,2.83
99,5.35,14.65,2.79
100,5.36,14.65,2.75
101,5.37,14.65,2.71
102,5.39,14.65,2.67
103,5.40,14.65,2.63
104,5.41,14.65,2.59
105,5.43,14.65,2.56
106,5.44,14.63,2.52
107,5.45,14.63,2.48
108,5.47,14.63,2.44
109,5.48,14.62,2.39
110,5.50,14.61,2.35
111,5.51,14.58,2.30
112,5.53,14.58,2.26
113,5.54,14.55,2.22
114,5.56,14.55,2.17
115,5.58,14.52,2.13
116,5.59,14.49,2.08
117,5.61,14.48,2.04
118,5.62,14.47,1.99
119,5.64,14.47,1.95
120,5.65,14.45,1.90
121,5.67,14.45,1.86
122,5.68,14.41,1.81
123,5.70,14.41,1.76
124,5.72,14.38,1.71
125,5.73,14.37,1.66
126,5.75,14.36,1.62
127,5.76,14.34,1.57
128,5.78,14.33,1.53
129,5.79,14.31,1.48
130,5.81,14.27,1.44
131,5.82,14.27,1.40
132,5.84,14.27,1.34
133,5.86,14.23,1.30
134,5.87,14.23,1.26
135,5.89,14.23,1.21
136,5.90,14.21,1.17
137,5.92,14.17,1.12
138,5.94,14.15,1.07
139,5.95,14.15,1.03
140,5.97,14.14,0.98
141,5.98,14.14,0.94
142,6.00,14.12,0.89
143,6.01,14.11,0.85
144,6.03,14.09,0.80
145,6.04,14.08,0.76
146,6.06,14.06,0.71
147,6.08,14.04,0.66
148,6.09,14.03,0.62
149,6.11,13.97,0.57
150,6.13,13.97,0.51
151,6.15,13.96,0.46
152,6.16,13.95,0.40
153,6.18,13.94,0.35
154,6.20,13.89,0.30
155,6.22,13.89,0.24
156,6.24,13.88,0.19
157,6.25,13.86,0.14
158,6.27,13.82,0.09
159,6.29,13.81,0.04
160,0.69,16.43,0.00
161,5.49,17.05,5.39
162,5.49,17.05,5.39
163,5.70,16.98,5.59
164,6.73,15.59,6.31
165,6.84,15.61,6.11
166,6.96,15.60,5.89
167,7.09,15.60,5.66
168,7.22,15.59,5.42
169,7.33,15.55,5.22
170,7.46,15.43,5.00
171,7.60,15.26,4.76
172,7.72,15.00,4.53
173,7.82,14.92,4.35
174,7.95,14.87,4.12
175,8.09,14.77,3.87
176,8.22,14.55,3.63
177,8.31,14.44,3.47
178,8.14,14.36,3.23
179,5.28,14.66,3.06
180,5.30,14.66,3.01
181,5.31,14.66,2.97
182,5.33,14.66,2.93
183,5.35,14.66,2.88
184,5.36,14.66,2.84
185,5.37,14.66,2.80
186,5.39,14.66,2.76
187,5.41,14.66,2.70
188,5.42,14.66,2.66
189,5.44,14.66,2.61
190,5.45,14.66,2.57
191,5.47,14.65,2.52
192,5.48,14.63,2.48
193,5.50,14.62,2.44
194,5.51,14.62,2.39
195,5.53,14.60,2.35
196,5.54,14.60,2.30
197,5.56,14.58,2.25
198,5.58,14.55,2.21
199,5.59,14.55,2.17
200,5.61,14.54,2.12
201,5.62,14.52,2.08
202,5.63,14.49,2.04
203,5.65,14.49,2.00
204,5.66,14.48,1.95
205,5.68,14.45,1.91
206,5.70,14.45,1.86
207,5.71,14.43,1.82
208,5.72,14.42,1.77
209,5.74,14.38,1.73
210,5.76,14.37,1.67
211,5.78,14.36,1.62
212,5.80,14.34,1.56
213,5.82,14.33,1.51
214,5.83,14.30,1.45
215,5.85,14.30,1.40
216,5.87,14.25,1.35
217,5.89,14.24,1.30
218,5.91,14.22,1.24
219,5.92,14.20,1.19
220,5.94,14.19,1.14
221,5.96,14.19,1.09
222,5.97,14.16,1.04
223,5.99,14.16,1.00
224,6.00,14.15,0.96
225,6.02,14.12,0.91
226,6.04,14.12,0.86
227,6.05,14.09,0.81
228,6.07,14.07,0.77
229,6.09,14.06,0.72
230,6.10,14.05,0.67
231,6.12,14.02,0.62
232,6.13,14.00,0.58
233,6.15,14.00,0.54
234,6.16,13.98,0.49
235,6.18,13.98,0.44
236,6.20,13.95,0.39
237,6.21,13.93,0.34
238,6.23,13.92,0.30
239,6.25,13.91,0.25
240,6.27,13.88,0.19
241,6.29,13.87,0.13
242,6.31,13.84,0.06
243,6.33,13.79,0.01
244,0.63,17.16,0.51
245,6.67,16.57,6.47
246,6.67,16.57,6.47
247,6.67,16.57,6.46
248,6.78,15.52,6.26
249,6.89,15.51,6.07
250,7.02,15.50,5.83
251,7.15,15.49,5.59
252,7.28,15.48,5.36
253,7.38,15.43,5.18
254,7.52,15.25,4.93
255,7.65,15.12,4.69
256,7.79,14.88,4.44
257,7.89,14.80,4.25
258,8.01,14.75,4.04
259,8.13,14.66,3.81
260,8.24,14.48,3.61
261,8.32,14.20,3.53
262,8.38,14.05,3.43
263,8.41,14.05,3.37
264,8.44,14.02,3.31
265,8.46,14.02,3.28
266,8.48,14.02,3.22
267,8.41,14.02,3.16
268,8.41,14.02,3.16
269,8.44,13.91,3.10
270,8.27,13.91,3.03
271,8.19,13.91,2.97
272,8.21,13.91,2.92
273,8.03,13.91,2.86
274,7.95,13.89,2.81
275,7.97,13.88,2.75
276,7.99,13.86,2.68
277,8.01,13.86,2.64
278,7.93,13.86,2.58
279,7.85,13.81,2.53
280,7.87,13.81,2.48
281,7.69,13.68,2.43
282,7.50,13.68,2.38
283,7.42,13.68,2.32
284,6.94,13.76,2.26
285,6.95,13.76,2.22
286,6.87,13.79,2.16
287,6.69,13.84,2.09
288,6.72,13.83,2.03
289,6.74,13.83,1.98
290,6.65,13.84,1.92
291,6.47,13.91,1.86
292,6.39,13.89,1.80
293,6.31,13.89,1.75
294,6.33,13.88,1.69
295,6.35,13.82,1.64
296,6.26,13.82,1.59
297,6.18,13.84,1.54
298,6.10,13.85,1.49
299,6.12,13.84,1.42
300,6.14,13.84,1.37
301,5.95,13.86,1.32
302,5.97,13.86,1.26
303,5.99,13.86,1.21
304,6.01,13.81,1.14
305,6.03,13.81,1.08
306,6.05,13.78,1.03
307,6.08,13.76,0.96
308,6.10,13.73,0.89
309,6.12,13.73,0.83
310,6.14,13.70,0.78
311,6.15,13.69,0.73
312,6.17,13.66,0.68
313,6.19,13.66,0.62
314,6.21,13.64,0.57
315,6.23,13.62,0.52
316,6.25,13.60,0.45
317,6.27,13.57,0.38
318,6.29,13.55,0.33
319,6.31,13.53,0.26
320,6.34,13.50,0.20
321,6.36,13.48,0.14
322,6.37,13.48,0.09
323,6.40,13.45,0.02
324,4.15,16.77,3.97
325,4.87,16.77,4.68
326,5.18,16.77,4.98
327,6.63,15.45,6.37
328,6.63,15.45,6.37
329,6.74,15.43,6.47
330,6.77,15.30,6.41
331,6.77,15.30,6.41
332,6.78,15.30,6.38
333,6.79,15.30,6.35
334,6.80,15.30,6.33
335,6.82,15.29,6.30
336,6.83,15.29,6.28
338,6.85,15.28,6.24
339,6.86,15.28,6.22
340,6.87,15.28,6.17
341,6.87,15.28,6.17
342,6.89,15.28,6.14
343,6.90,15.27,6.14
344,6.93,15.27,6.09
345,6.93,15.27,6.09
346,6.94,15.27,6.08
347,6.95,15.27,6.04
348,6.97,15.27,6.00
349,6.97,15.27,6.00
350,7.00,15.23,5.96
351,7.00,15.23,5.95
352,7.00,15.23,5.95
353,7.03,15.23,5.89
354,7.03,15.23,5.89
355,7.04,15.23,5.87
356,7.06,15.23,5.82
357,7.06,15.23,5.82
358,7.08,15.23,5.78
359,7.08,15.23,5.78
360,7.09,15.23,5.76
361,7.10,15.23,5.72
362,7.10,15.23,5.72
363,7.12,15.21,5.68
364,7.14,15.21,5.64
365,7.14,15.21,5.64
366,7.16,15.21,5.60
367,7.17,15.21,5.58
368,7.17,15.21,5.58
369,7.19,15.19,5.54
370,7.20,15.19,5.52
371,7.20,15.19,5.51
372,7.22,15.19,5.47
373,7.23,15.19,5.45
374,7.23,15.19,5.44
375,7.25,15.17,5.39
376,7.26,15.17,5.38
377,7.27,15.16,5.36
378,7.29,15.16,5.32
379,7.29,15.16,5.31
380,7.30,15.16,5.30
381,7.32,15.16,5.25
382,7.32,15.16,5.24
383,7.33,15.16,5.22
384,7.35,15.16,5.19
385,7.36,15.16,5.16
386,7.37,15.16,5.15
387,7.38,15.16,5.12
390,7.41,15.13,5.05
391,7.43,15.13,5.01
392,7.43,15.13,5.00
393,7.43,15.13,5.00
394,7.46,15.13,4.95
395,7.47,15.13,4.93
396,7.47,15.13,4.92
397,7.49,15.09,4.88
398,7.50,15.09,4.86
399,7.52,15.04,4.82
400,7.52,15.04,4.82
401,7.53,15.04,4.80
402,7.54,15.04,4.78
403,7.54,15.04,4.78
404,7.55,15.04,4.75
405,7.57,15.02,4.70
406,7.57,15.02,4.70
407,7.58,15.02,4.67
408,7.61,15.02,4.63
409,7.61,15.02,4.62
410,7.62,15.02,4.59
411,7.64,15.00,4.56
412,7.64,15.00,4.55
413,7.65,15.00,4.53
414,7.66,14.97,4.51
415,7.66,14.97,4.51
416,7.69,14.91,4.45
417,7.70,14.91,4.43
418,7.70,14.91,4.43
419,7.72,14.85,4.38
420,7.73,14.85,4.36
421,7.73,14.85,4.35
422,7.75,14.85,4.30
423,7.75,14.85,4.30
424,7.76,14.85,4.29
425,7.78,14.81,4.23
426,7.79,14.81,4.23
427,7.80,14.81,4.21
428,7.82,14.81,4.17
429,7.82,14.81,4.17
430,7.83,14.79,4.13
431,7.83,14.79,4.13
432,7.85,14.77,4.10
433,7.86,14.77,4.08
434,7.86,14.77,4.07
435,7.87,14.77,4.05
436,7.89,14.73,4.00
437,7.90,14.72,3.99
438,7.91,14.72,3.96
439,7.93,14.71,3.92
440,7.93,14.71,3.92
441,7.94,14.62,3.89
442,7.95,14.62,3.86
443,7.96,14.62,3.85
444,7.98,14.59,3.81
445,7.99,14.58,3.78
446,7.99,14.58,3.78
447,8.01,14.58,3.75
448,8.02,14.58,3.72
449,8.02,14.58,3.72
450,8.05,14.55,3.67
452,8.06,14.55,3.64
453,8.07,14.55,3.62
454,8.07,14.55,3.61
455,8.09,14.54,3.57
456,8.09,14.54,3.57
457,8.11,14.54,3.53
458,8.12,14.54,3.50
459,8.13,14.54,3.49
460,8.15,14.52,3.44
461,8.15,14.52,3.43
462,8.16,14.52,3.42
463,8.18,14.47,3.38
464,8.19,14.46,3.36
465,8.19,14.46,3.35
466,8.21,14.46,3.31
467,8.22,14.45,3.29
468,8.22,14.45,3.28
469,8.24,14.44,3.24
470,8.24,14.44,3.24
471,8.25,14.44,3.22
472,8.27,14.44,3.18
473,8.28,14.44,3.16
474,8.28,14.44,3.16
475,8.30,14.44,3.11
476,8.31,14.43,3.09
477,8.32,14.38,3.07
478,8.33,14.38,3.04
479,8.34,14.38,3.02
480,8.35,14.38,3.00
481,8.36,14.38,2.98
482,8.37,14.38,2.97
483,8.38,14.38,2.94
484,8.39,14.30,2.91
485,8.40,14.30,2.89
486,8.42,14.30,2.86
487,8.43,14.30,2.83
488,8.44,14.30,2.81
489,8.45,14.30,2.79
490,8.46,14.30,2.76
491,8.47,14.30,2.74
492,8.48,14.30,2.72
493,8.49,14.29,2.69
494,8.49,14.29,2.69
495,8.51,14.23,2.65
496,8.51,14.23,2.65
497,8.53,14.16,2.60
498,8.53,14.16,2.60
499,8.55,14.15,2.57
500,8.56,14.15,2.55
501,8.56,14.15,2.55
502,8.57,14.08,2.52
503,8.57,14.08,2.52
504,8.57,14.08,2.52
505,8.60,13.96,2.45
506,8.61,13.95,2.45
507,8.62,13.95,2.42
508,8.63,13.95,2.40
509,8.63,13.95,2.40
510,8.65,13.95,2.36
511,8.66,13.95,2.33
512,8.67,13.95,2.32
513,8.69,13.95,2.27
514,8.69,13.95,2.26
515,8.69,13.95,2.26
516,8.71,13.95,2.21
517,8.73,13.95,2.18
518,8.73,13.94,2.17
519,8.75,13.93,2.14
520,8.76,13.93,2.11
521,8.77,13.93,2.10
522,8.78,13.93,2.07
523,8.78,13.93,2.07
524,8.80,13.87,2.02
525,8.80,13.87,2.01
526,8.82,13.86,1.98
527,8.83,13.86,1.96
528,8.84,13.86,1.94
529,8.85,13.86,1.91
530,8.86,13.86,1.89
531,8.87,13.86,1.88
532,8.88,13.86,1.85
533,8.89,13.86,1.82
534,8.90,13.86,1.79
535,8.91,13.86,1.77
536,8.92,13.86,1.76
537,8.93,13.84,1.73
538,8.94,13.84,1.71
539,8.96,13.80,1.68
540,8.97,13.80,1.66
541,8.97,13.80,1.64
542,8.99,13.73,1.62
543,9.00,13.73,1.58
544,9.00,13.73,1.57
545,9.02,13.73,1.55
546,9.03,13.68,1.51
547,9.03,13.68,1.51
548,9.05,13.61,1.49
549,9.06,13.61,1.45
550,9.06,13.61,1.45
551,9.09,13.49,1.40
552,9.09,13.49,1.40
553,9.10,13.49,1.37
554,9.11,13.49,1.33
555,9.11,13.49,1.33
556,9.13,13.49,1.30
557,9.14,13.49,1.27
558,9.15,13.49,1.26
559,9.16,13.48,1.23
560,9.18,13.48,1.20
561,9.18,13.48,1.20
562,9.19,13.47,1.16
563,9.21,13.47,1.13
564,9.21,13.47,1.13
565,9.23,13.44,1.09
566,9.23,13.44,1.08
567,9.24,13.44,1.07
568,9.26,13.44,1.02
569,9.26,13.44,1.01
570,9.28,13.44,0.98
571,9.29,13.44,0.95
572,9.30,13.44,0.94
573,9.32,13.29,0.90
574,9.32,13.29,0.88
575,9.33,13.29,0.87
576,9.35,13.27,0.82
577,9.35,13.27,0.81
578,9.36,13.27,0.80
579,9.38,13.24,0.75
580,9.38,13.24,0.75
581,9.41,13.09,0.70
582,9.41,13.09,0.69
583,9.42,13.09,0.68
584,9.43,13.09,0.66
585,9.44,13.09,0.63
586,9.45,13.09,0.61
587,9.46,13.09,0.58
588,9.47,13.09,0.56
589,9.48,13.09,0.54
590,9.49,13.09,0.52
591,9.50,13.09,0.49
592,9.51,13.09,0.48
593,9.52,13.09,0.45
594,9.53,13.09,0.42
595,9.54,13.09,0.41
596,9.55,13.09,0.39
597,9.55,13.09,0.38
598,9.56,13.09,0.37
599,9.59,13.09,0.31
600,9.59,13.09,0.30
601,9.60,13.09,0.27
602,9.61,13.09,0.25
603,9.42,13.08,0.23
604,9.33,13.07,0.20
605,9.34,13.07,0.18
606,9.35,13.07,0.15
607,9.36,13.07,0.14
608,8.86,13.05,0.11
609,8.77,13.09,0.09
610,8.58,13.09,0.07
611,7.88,13.18,0.05
612,7.58,13.21,0.04
613,7.18,13.30,0.03
614,6.98,13.37,0.02
615,6.88,13.37,0.01
616,6.57,13.46,0.01
617,6.57,13.46,0.01
618,3.22,13.30,0.00
619,5.64,16.60,5.39
620,5.64,16.60,5.39
621,5.95,16.51,5.69
622,6.78,15.55,6.48
623,6.79,15.58,6.47
624,6.79,15.58,6.47
625,6.81,15.21,6.41
626,6.81,15.21,6.41
627,6.82,15.21,6.40
628,6.84,15.21,6.35
629,6.85,15.21,6.34
630,6.85,15.21,6.34
631,6.88,15.20,6.28
632,6.88,15.20,6.27
633,6.88,15.20,6.27
634,6.90,15.20,6.22
635,6.90,15.20,6.22
636,6.91,15.20,6.21
637,6.92,15.20,6.18
642,6.98,15.09,6.04
643,7.00,15.09,6.01
644,7.00,15.09,6.00
645,7.01,15.09,5.97
646,7.03,15.09,5.94
647,7.03,15.09,5.94
648,7.04,15.09,5.92
649,7.06,15.09,5.88
650,7.06,15.09,5.87
651,7.07,15.09,5.85
652,7.09,15.09,5.81
653,7.09,15.09,5.81
654,7.10,15.09,5.79
655,7.10,15.09,5.79
656,7.12,15.09,5.75
657,7.13,15.09,5.72
658,7.14,15.09,5.70
659,7.15,15.09,5.69
660,7.15,15.09,5.68
661,7.16,15.09,5.66
662,7.17,15.09,5.64
663,7.19,15.09,5.58
664,7.19,15.09,5.58
665,7.21,15.09,5.56
666,7.23,15.09,5.51
667,7.23,15.09,5.51
668,7.24,15.09,5.48
669,7.26,15.09,5.44
670,7.26,15.09,5.44
671,7.28,15.09,5.40
672,7.28,15.09,5.40
673,7.29,15.09,5.37
674,7.31,15.09,5.33
675,7.31,15.09,5.33
676,7.32,15.09,5.30
677,7.34,15.09,5.27
678,7.34,15.09,5.26
679,7.38,15.05,5.17
681,7.38,15.05,5.17
682,7.38,15.05,5.17
683,7.40,15.05,5.13
684,7.40,15.05,5.12
685,7.41,15.05,5.11
686,7.43,15.05,5.06
687,7.44,15.05,5.06
688,7.45,15.05,5.02
689,7.46,15.05,4.99
690,7.47,15.05,4.98
691,7.49,15.05,4.94
692,7.52,14.98,4.93
693,7.53,14.98,4.91
694,7.55,14.97,4.87
696,7.55,14.97,4.87
697,7.57,14.89,4.81
698,7.57,14.89,4.81
