Time,M_C,ExtFrag,IntFrag
1,0.25,2.44,0.18
2,0.27,2.37,0.14
3,0.29,2.37,0.10
4,0.31,2.37,0.05
5,0.33,2.37,0.01
6,0.24,2.51,0.20
7,0.26,2.40,0.16
8,0.28,2.34,0.11
9,0.30,2.34,0.07
10,0.32,2.34,0.02
11,0.24,2.55,0.21
12,0.26,2.42,0.17
13,0.28,2.42,0.12
14,0.29,2.42,0.08
15,0.32,2.39,0.04
16,0.01,2.54,0.00
17,0.25,2.38,0.18
18,0.27,2.38,0.13
19,0.29,2.38,0.09
20,0.32,2.38,0.04
21,0.03,2.52,0.00
22,0.25,2.49,0.18
23,0.27,2.45,0.14
24,0.29,2.45,0.10
25,0.31,2.43,0.06
26,0.32,2.41,0.02
27,0.04,2.61,0.01
28,0.26,2.36,0.18
29,0.28,2.36,0.13
30,0.31,2.34,0.08
31,0.33,2.34,0.03
32,0.25,2.55,0.21
33,0.27,2.42,0.17
34,0.29,2.42,0.12
35,0.31,2.37,0.08
36,0.33,2.37,0.03
37,0.05,2.56,0.01
38,0.27,2.34,0.18
39,0.29,2.34,0.14
40,0.31,2.34,0.09
41,0.33,2.34,0.05
42,0.35,2.33,0.01
43,0.27,2.33,0.19
44,0.28,2.31,0.15
45,0.30,2.30,0.10
46,0.32,2.30,0.06
47,0.34,2.30,0.02
48,0.26,2.41,0.20
49,0.28,2.31,0.16
50,0.30,2.31,0.11
51,0.32,2.31,0.06
52,0.35,2.31,0.01
