G,T_C,T_L,Theta,T_A,T_D,T_C_ERR,T_L_ERR,Theta_ERR,T_A_ERR,T_D_ERR
1,4.76,0.60,21.09,0.11,0.22,0.09,0.01,0.39,0.01,0.01
16,88.62,15.41,33.10,1.81,0.63,25.82,0.42,5.96,0.04,0.03
32,153.26,50.85,29.66,4.49,0.94,32.02,6.12,4.97,0.56,0.03
64,1101.98,71.42,5.81,6.95,1.98,3.98,2.63,0.02,0.30,0.08
128,2179.47,140.88,5.87,12.61,3.45,6.10,1.92,0.02,0.35,0.17
256,5281.08,277.79,4.85,24.60,7.23,10.72,4.22,0.01,0.30,0.38
