G,T_C,T_L,Theta,T_A,T_D
256,46.41,0.00,5386.59,18.67,5.91
256,23.18,0.00,10786.11,9.05,3.58
256,36.69,0.00,6813.63,14.75,4.94
256,30.94,0.00,8078.87,11.57,0.28
256,23.45,0.00,10659.90,8.90,0.28
256,25.71,0.00,9724.57,9.28,0.28
256,30.02,0.00,8328.55,11.25,0.28
256,23.74,0.00,10530.71,8.97,0.28
256,23.12,0.00,10814.32,8.79,0.28
256,35.52,0.00,7038.92,14.63,0.28
