G,T_C,T_L,Theta,T_A,T_D
256,28.93,0.00,8640.20,12.03,0.44
256,36.74,0.00,6803.92,15.07,0.87
256,39.97,0.00,6255.14,16.37,1.04
256,18.98,0.00,13169.76,7.49,0.82
256,32.31,0.00,7738.25,12.95,1.27
256,39.20,0.00,6377.52,16.00,1.16
256,19.45,0.00,12854.45,7.76,1.05
256,37.88,0.00,6599.71,15.54,0.82
256,39.24,0.00,6370.50,15.90,0.99
256,39.27,0.00,6365.71,16.08,1.07
