,G,T_C,T_L,Theta,T_A,T_D,T_C_p,T_L_p,Theta_p,T_A_p,T_D_p
0,1,-6.757591669393553,-3.2957653080153078,8.10016583928904,-35.35566867318949,33.67621744936329,8.293283968840526e-05,0.009292467039183714,2.0037457117957413e-05,5.727865539009005e-11,8.849456091191917e-11
1,16,-9.99698861507046,-3.3697087317833287,8.08606506209783,-21.711749592744763,23.490282980016865,3.587218897986316e-06,0.008260801917431566,2.0319050760211684e-05,4.395543997142383e-09,2.1884115741320605e-09
2,32,-7.949869331607954,-3.6285856146276436,7.904224714829047,-26.888902982574564,57.850625197941696,2.3274032062541977e-05,0.005497718626661729,2.4367432711809725e-05,6.587672420619126e-10,6.939478190483149e-13
3,64,-10.525753818111218,-5.099444546546573,11.685204864271041,-18.827291749924537,37.103426958411,2.332134381381939e-06,0.0006456368542751954,9.653525276651715e-07,1.5460576363721118e-08,3.720205294955525e-11
4,128,-19.958684395528692,-10.979983476608126,18.740902811780185,-53.88035982587952,29.212986534651343,9.24663354692643e-09,1.6348480125876773e-06,1.6098861419969728e-08,1.3137022705181402e-12,3.1480902592463564e-10
5,256,-23.500898455690663,-8.95660998595023,29.08846196603012,-133.35038320455487,29.070373733812982,2.179660259634706e-09,8.882210070919599e-06,3.2702794911832036e-10,3.8108639056371813e-16,3.2884624228760945e-10
