G,T_C,T_L,Theta,T_A,T_D
16,90.33,24.04,354.27,13.33,9.20
16,83.70,19.49,382.30,11.00,9.70
16,94.50,22.89,338.61,12.55,9.94
16,71.39,18.74,448.26,10.26,9.24
16,83.27,22.11,384.30,10.44,9.20
16,91.62,21.92,349.26,12.73,10.83
16,89.98,22.43,355.62,11.98,9.80
16,100.52,22.63,318.34,13.85,12.99
16,94.71,23.22,337.89,13.15,11.14
16,84.20,22.37,380.03,10.59,12.05
