Time,M_C,ExtFrag,IntFrag
1,5.97,1663.51,0.00
2,6.82,1659.01,0.00
3,7.70,1654.41,0.00
4,8.46,1650.40,0.01
5,9.17,1646.42,0.01
6,9.92,1642.34,0.01
7,10.72,1637.95,0.01
8,11.57,1633.23,0.01
9,12.25,1629.55,0.01
10,13.03,1625.25,0.01
11,13.86,1620.67,0.01
12,14.57,1616.74,0.01
13,15.37,1612.40,0.01
14,16.25,1607.53,0.01
15,17.05,1603.16,0.01
16,17.97,1598.12,0.01
17,18.77,1593.70,0.01
18,19.47,1589.85,0.01
19,20.38,1584.77,0.01
20,21.32,1579.62,0.01
21,22.09,1575.49,0.01
22,22.91,1570.97,0.02
23,23.86,1565.70,0.02
24,24.70,1561.14,0.02
25,25.64,1555.91,0.02
26,26.58,1550.74,0.02
27,27.36,1546.49,0.02
28,28.20,1541.86,0.02
29,29.05,1537.20,0.02
30,29.81,1532.99,0.02
31,30.62,1528.57,0.02
32,31.35,1524.59,0.02
33,32.26,1519.57,0.02
34,33.11,1514.98,0.02
35,34.03,1509.89,0.02
36,34.79,1505.66,0.02
37,35.50,1501.77,0.02
38,36.42,1496.70,0.02
39,37.31,1491.81,0.03
40,38.21,1486.89,0.03
41,38.95,1482.81,0.03
42,39.67,1478.88,0.03
43,40.27,1475.57,0.03
44,41.17,1470.63,0.03
45,41.97,1466.18,0.03
46,42.86,1461.30,0.03
47,43.68,1456.78,0.03
48,44.61,1451.70,0.03
49,45.55,1446.52,0.03
50,46.26,1442.64,0.03
51,47.04,1438.30,0.03
52,47.76,1434.33,0.03
53,48.54,1430.02,0.03
54,49.32,1425.76,0.03
55,50.15,1421.20,0.03
56,51.04,1416.33,0.03
57,51.84,1411.86,0.04
58,52.65,1407.49,0.04
59,53.45,1403.09,0.04
60,54.32,1398.30,0.04
61,54.99,1394.59,0.04
62,55.88,1389.70,0.04
63,56.65,1385.45,0.04
64,57.60,1380.24,0.04
65,58.56,1374.96,0.04
66,59.30,1370.89,0.04
67,60.04,1366.78,0.04
68,60.83,1362.46,0.04
69,61.78,1357.22,0.04
70,62.72,1352.05,0.04
71,63.61,1347.18,0.04
72,64.50,1342.27,0.04
73,65.40,1337.34,0.04
74,66.10,1333.49,0.04
75,67.05,1328.28,0.05
76,68.01,1322.98,0.05
77,68.70,1319.24,0.05
78,69.55,1314.49,0.05
79,70.38,1309.98,0.05
80,71.29,1305.02,0.05
81,72.21,1299.97,0.05
82,73.13,1294.85,0.05
83,74.04,1289.89,0.05
84,74.99,1284.65,0.05
85,75.91,1279.63,0.05
86,76.83,1274.45,0.05
87,77.59,1270.39,0.05
88,78.43,1265.73,0.05
89,79.20,1261.47,0.05
90,79.97,1257.27,0.05
91,80.92,1252.06,0.06
92,81.73,1247.62,0.06
93,82.55,1243.11,0.06
94,83.24,1239.25,0.06
95,83.98,1235.27,0.06
96,84.83,1230.55,0.06
97,85.67,1225.91,0.06
98,86.45,1221.56,0.06
99,87.28,1217.09,0.06
100,88.03,1212.95,0.06
101,88.88,1208.29,0.06
102,89.65,1204.03,0.06
103,90.54,1199.16,0.06
104,91.51,1193.80,0.06
105,92.27,1189.63,0.06
106,93.14,1184.80,0.06
107,93.95,1180.35,0.06
108,94.82,1175.56,0.06
109,95.77,1170.31,0.07
110,96.72,1165.13,0.07
111,97.53,1160.71,0.07
112,98.29,1156.52,0.07
113,99.17,1151.67,0.07
114,100.08,1146.63,0.07
115,100.92,1142.10,0.07
116,101.71,1137.70,0.07
117,102.65,1132.55,0.07
118,103.33,1128.80,0.07
119,104.23,1123.84,0.07
120,104.99,1119.68,0.07
121,105.94,1114.41,0.07
122,106.83,1109.56,0.07
123,107.65,1104.99,0.07
124,108.39,1101.01,0.07
125,109.27,1096.09,0.07
126,110.03,1091.91,0.08
127,110.85,1087.41,0.08
128,111.66,1082.95,0.08
129,112.29,1079.52,0.08
130,113.25,1074.20,0.08
131,114.17,1069.12,0.08
132,114.99,1064.71,0.08
133,115.82,1060.12,0.08
134,116.64,1055.59,0.08
135,117.43,1051.27,0.08
136,118.34,1046.27,0.08
137,118.93,1043.05,0.08
138,119.61,1039.28,0.08
139,120.58,1033.91,0.08
140,121.46,1029.09,0.08
141,122.17,1025.21,0.08
142,123.10,1020.09,0.08
143,123.82,1016.15,0.08
144,124.61,1011.77,0.09
145,125.42,1007.37,0.09
146,126.06,1003.82,0.09
147,126.84,999.57,0.09
148,127.60,995.38,0.09
149,128.42,990.84,0.09
150,129.23,986.40,0.09
151,130.16,981.30,0.09
152,131.08,976.18,0.09
153,131.77,972.43,0.09
154,132.67,967.51,0.09
155,133.58,962.52,0.09
156,134.41,957.93,0.09
157,135.23,953.41,0.09
158,136.15,948.32,0.09
159,136.96,943.91,0.09
160,137.62,940.30,0.09
161,138.54,935.22,0.09
162,139.50,929.94,0.10
163,140.30,925.59,0.10
164,141.23,920.45,0.10
165,142.13,915.48,0.10
166,142.93,911.05,0.10
167,143.64,907.20,0.10
168,144.49,902.48,0.10
169,145.45,897.17,0.10
170,146.20,893.12,0.10
171,147.03,888.57,0.10
172,147.75,884.58,0.10
173,148.60,879.89,0.10
174,149.48,875.08,0.10
175,150.45,869.76,0.10
176,151.28,865.22,0.10
177,152.09,860.80,0.10
178,152.99,855.80,0.10
179,153.86,850.97,0.11
180,154.74,846.15,0.11
181,155.59,841.53,0.11
182,156.31,837.52,0.11
183,157.19,832.70,0.11
184,158.13,827.52,0.11
185,158.93,823.11,0.11
186,159.83,818.20,0.11
187,160.67,813.52,0.11
188,161.60,808.44,0.11
189,162.49,803.55,0.11
190,163.41,798.47,0.11
191,164.24,793.89,0.11
192,165.14,788.97,0.11
193,165.92,784.73,0.11
194,166.86,779.55,0.11
195,167.54,775.80,0.11
196,168.39,771.12,0.12
197,169.30,766.09,0.12
198,170.13,761.59,0.12
199,170.91,757.30,0.12
200,171.73,752.78,0.12
201,172.55,748.22,0.12
202,173.40,743.56,0.12
203,174.28,738.70,0.12
204,175.09,734.26,0.12
205,175.94,729.58,0.12
206,176.74,725.16,0.12
207,177.53,720.81,0.12
208,178.14,717.49,0.12
209,178.82,713.79,0.12
210,179.54,709.82,0.12
211,180.34,705.33,0.12
212,181.16,700.91,0.12
213,181.99,696.34,0.12
214,182.79,691.93,0.13
215,183.61,687.42,0.13
216,184.41,683.02,0.13
217,185.20,678.67,0.13
218,186.03,674.13,0.13
219,186.78,669.98,0.13
220,187.44,666.33,0.13
221,188.29,661.65,0.13
222,189.15,656.93,0.13
223,189.97,652.45,0.13
224,190.67,648.59,0.13
225,191.44,644.28,0.13
226,192.37,639.22,0.13
227,193.22,634.51,0.13
228,194.09,629.76,0.13
229,194.83,625.72,0.13
230,195.56,621.71,0.13
231,196.47,616.65,0.13
232,197.31,612.02,0.14
233,198.20,607.15,0.14
234,198.92,603.23,0.14
235,199.61,599.47,0.14
236,200.30,595.61,0.14
237,201.01,591.71,0.14
238,201.62,588.38,0.14
239,202.36,584.30,0.14
240,203.08,580.38,0.14
241,203.75,576.68,0.14
242,204.47,572.75,0.14
243,205.19,568.73,0.14
244,205.93,564.70,0.14
245,206.58,561.10,0.14
246,207.32,557.04,0.14
247,208.11,552.65,0.14
248,208.94,548.09,0.14
249,209.87,543.03,0.14
250,210.65,538.73,0.14
251,211.37,534.77,0.14
252,212.10,530.76,0.15
253,212.78,527.01,0.15
254,213.57,522.70,0.15
255,214.30,518.67,0.15
256,214.96,515.05,0.15
257,215.64,511.27,0.15
258,216.42,506.96,0.15
259,217.14,503.01,0.15
260,217.90,498.80,0.15
261,218.61,494.94,0.15
262,219.44,490.35,0.15
263,220.36,485.34,0.15
264,221.13,481.09,0.15
265,221.81,477.32,0.15
266,222.56,473.16,0.15
267,223.35,468.91,0.15
268,224.18,464.33,0.15
269,225.11,459.17,0.15
270,226.07,453.91,0.15
271,226.83,449.78,0.16
272,227.50,446.06,0.16
273,228.42,440.97,0.16
274,229.33,435.97,0.16
275,230.13,431.58,0.16
276,230.89,427.39,0.16
277,231.75,422.70,0.16
278,232.50,418.62,0.16
279,233.21,414.66,0.16
280,234.04,410.16,0.16
281,234.77,406.07,0.16
282,235.68,401.05,0.16
283,236.58,396.12,0.16
284,237.32,392.02,0.16
285,238.10,387.79,0.16
286,238.79,384.02,0.16
287,239.65,379.27,0.16
288,240.52,374.46,0.16
289,241.41,369.54,0.17
290,242.30,364.72,0.17
291,243.16,359.98,0.17
292,244.04,355.16,0.17
293,244.81,350.86,0.17
294,245.64,346.34,0.17
295,246.38,342.26,0.17
296,247.29,337.28,0.17
297,248.19,332.30,0.17
298,249.09,327.34,0.17
299,249.82,323.34,0.17
300,250.60,319.05,0.17
301,251.36,314.86,0.17
302,252.03,311.20,0.17
303,252.96,306.01,0.17
304,253.70,301.97,0.17
305,254.47,297.75,0.17
306,255.22,293.61,0.18
307,255.97,289.54,0.18
308,256.91,284.38,0.18
309,257.69,280.03,0.18
310,258.39,276.16,0.18
311,259.18,271.87,0.18
312,259.94,267.62,0.18
313,260.71,263.38,0.18
314,261.63,258.35,0.18
315,262.53,253.43,0.18
316,263.48,248.17,0.18
317,264.24,244.05,0.18
318,265.03,239.72,0.18
319,265.94,234.69,0.18
