G,T_C,T_L,Theta,T_A,T_D
16,127.81,24.76,250.36,467.20,0.63
16,120.31,22.66,265.99,360.70,0.63
16,123.10,23.37,259.96,481.37,0.63
16,122.21,23.35,261.84,404.84,0.66
16,110.72,23.30,289.03,414.18,0.67
16,130.18,25.06,245.81,443.57,0.64
16,120.46,22.34,265.64,562.42,0.62
16,111.05,22.42,288.15,374.04,0.63
16,124.81,24.62,256.39,477.46,0.65
16,121.13,25.38,264.18,379.89,0.63
