G,T_C,T_L,Theta,T_A,T_D,T_C_ERR,T_L_ERR,Theta_ERR,T_A_ERR,T_D_ERR
1,4.57,0.56,439.09,0.49,0.65,0.10,0.02,9.38,0.01,0.02
16,88.42,21.98,364.89,11.99,10.41,2.57,0.52,11.49,0.42,0.41
32,161.44,81.32,398.79,21.82,22.17,4.09,1.23,10.37,0.79,0.36
64,295.43,183.66,433.92,38.45,42.08,3.74,1.33,5.70,0.76,1.07
128,538.70,383.22,476.45,71.78,74.66,9.14,4.66,8.14,1.66,2.12
256,1003.89,788.18,511.07,135.90,144.00,15.05,8.64,7.83,2.86,4.27
