Time,M_C,ExtFrag,IntFrag
1,1.35,99.79,0.67
2,1.42,99.22,0.45
3,1.51,97.98,0.24
4,1.60,96.70,0.03
5,2.95,96.53,1.33
6,2.99,96.02,1.23
7,3.07,94.77,1.03
8,3.15,93.78,0.85
9,3.22,92.59,0.66
10,3.31,91.31,0.45
11,3.39,90.06,0.25
12,3.48,88.65,0.03
13,4.83,88.49,1.34
14,4.88,87.76,1.22
15,4.97,86.39,1.00
16,5.05,85.09,0.79
17,5.14,83.76,0.58
18,5.22,82.51,0.38
19,5.32,81.11,0.15
20,6.71,80.16,1.33
21,6.71,80.12,1.33
22,6.80,78.87,1.13
23,6.88,77.54,0.92
24,6.97,76.31,0.70
25,7.06,74.95,0.48
26,7.16,73.66,0.26
27,7.25,72.28,0.03
28,8.59,72.05,1.33
29,8.63,71.49,1.25
30,8.72,70.10,1.02
31,8.81,68.74,0.80
32,8.90,67.37,0.59
33,8.97,66.41,0.42
34,9.06,65.06,0.20
35,10.48,63.78,1.34
36,10.48,63.78,1.34
37,10.57,62.46,1.12
38,10.66,60.96,0.88
39,10.76,59.57,0.66
40,10.84,58.28,0.45
41,10.93,56.93,0.23
42,11.02,55.57,0.01
43,12.36,55.54,1.33
44,12.42,54.62,1.20
45,12.51,53.17,0.96
46,12.59,52.10,0.78
47,12.68,50.71,0.56
48,12.77,49.30,0.33
49,12.86,48.07,0.13
50,14.24,47.26,1.33
51,14.25,47.23,1.33
52,14.34,45.87,1.11
53,14.43,44.46,0.89
54,14.52,43.15,0.68
55,14.61,41.80,0.46
56,14.69,40.48,0.24
57,14.78,39.12,0.03
58,16.13,38.96,1.34
59,16.17,38.32,1.23
60,16.26,36.98,1.02
61,16.36,35.52,0.79
62,16.44,34.23,0.58
63,16.53,32.93,0.37
64,16.61,31.58,0.15
65,18.01,30.64,1.34
66,18.02,30.26,1.28
67,18.12,28.96,1.07
68,18.23,27.41,0.82
69,18.32,25.85,0.57
70,18.43,24.34,0.32
71,18.53,22.80,0.08
72,19.90,22.30,1.33
73,19.91,22.09,1.30
74,20.02,20.41,1.03
75,20.12,19.03,0.81
76,20.22,17.52,0.57
77,20.30,16.24,0.37
78,20.40,14.75,0.11
79,21.79,14.06,1.34
80,21.81,13.74,1.28
81,21.89,12.52,1.09
82,22.28,11.96,1.18
87,22.28,11.96,1.18
88,22.28,11.93,1.18
89,22.28,11.93,1.18
90,22.23,11.93,1.13
91,22.15,11.93,1.06
92,22.15,11.93,1.06
93,22.15,11.93,1.06
94,22.15,11.93,1.06
95,22.15,11.93,1.06
96,22.15,11.93,1.06
97,22.15,11.93,1.06
98,22.16,11.93,1.06
99,22.16,11.93,1.06
100,22.16,11.93,1.06
101,22.16,11.93,1.06
102,22.16,11.93,1.06
103,22.16,11.93,1.06
104,22.16,11.93,1.06
105,22.16,11.93,1.06
106,22.16,11.93,1.06
107,22.16,11.93,1.06
108,22.16,11.93,1.06
109,22.16,11.93,1.06
110,22.16,11.93,1.06
111,22.16,11.93,1.06
112,22.16,11.93,1.06
113,22.16,11.93,1.06
114,22.16,11.92,1.06
115,22.16,11.92,1.06
116,22.16,11.92,1.06
117,22.16,11.92,1.06
118,22.16,11.92,1.06
119,22.16,11.92,1.06
120,22.16,11.92,1.06
121,22.16,11.92,1.06
122,22.16,11.92,1.06
123,22.16,11.92,1.06
124,22.16,11.92,1.06
125,22.16,11.92,1.06
126,22.16,11.92,1.06
127,22.16,11.92,1.06
128,6.13,11.89,0.00
131,6.13,11.88,0.00
132,6.13,11.70,0.00
133,6.13,11.70,0.00
134,6.13,11.51,0.00
135,6.13,11.51,0.00
136,6.04,93.57,0.00
137,0.05,99.39,0.00
138,1.38,99.84,1.34
139,1.40,99.84,0.60
140,1.50,98.83,0.32
141,1.59,97.48,0.09
142,3.00,96.37,1.25
143,3.07,95.44,1.09
144,3.14,94.35,0.90
145,3.20,93.45,0.75
146,3.26,92.49,0.60
147,3.34,91.35,0.40
148,3.40,90.40,0.24
149,3.47,89.27,0.06
150,4.88,88.24,1.23
151,4.95,87.16,1.06
152,5.02,86.09,0.89
153,5.09,85.04,0.72
154,5.16,84.00,0.56
155,5.22,83.00,0.39
156,5.30,81.90,0.21
157,5.37,80.80,0.04
158,6.77,79.81,1.22
159,6.83,78.77,1.05
160,6.90,77.73,0.89
161,6.98,76.54,0.69
162,7.05,75.51,0.53
163,7.13,74.31,0.34
164,7.21,73.19,0.14
165,8.61,72.34,1.33
166,8.67,71.34,1.17
167,8.74,70.27,1.00
168,8.82,69.02,0.80
169,8.89,68.05,0.64
170,8.95,67.05,0.48
171,9.03,65.91,0.30
172,9.10,64.87,0.13
173,10.49,64.03,1.33
174,10.50,63.91,1.31
175,10.60,62.27,1.05
176,10.69,60.91,0.84
177,10.80,59.47,0.60
178,10.89,57.96,0.37
179,10.99,56.56,0.14
180,12.38,55.68,1.34
181,12.38,55.68,1.34
182,12.49,54.05,1.07
183,12.60,52.25,0.78
184,12.72,50.50,0.50
185,12.81,49.03,0.27
186,12.92,47.38,0.00
187,14.26,47.38,1.34
188,14.36,45.90,1.10
189,14.46,44.30,0.84
190,14.57,42.74,0.59
191,14.66,41.29,0.36
192,14.77,39.62,0.09
193,16.14,39.05,1.33
194,16.15,38.88,1.31
195,16.24,37.63,1.09
196,16.34,36.19,0.86
197,16.44,34.70,0.62
198,16.53,33.28,0.40
199,16.62,31.89,0.17
200,18.02,30.82,1.33
201,18.03,30.82,1.33
202,18.11,29.58,1.13
203,18.20,28.18,0.91
204,18.30,26.65,0.67
205,18.39,25.27,0.45
206,18.49,23.81,0.21
207,19.91,22.49,1.34
208,19.91,22.49,1.34
209,19.98,21.40,1.16
210,20.08,19.91,0.93
211,20.17,18.54,0.70
212,20.26,17.09,0.47
213,20.36,15.56,0.23
214,20.46,14.18,0.00
215,21.79,14.15,1.34
216,21.86,13.15,1.17
217,22.29,12.07,1.18
221,22.29,12.07,1.18
222,22.29,12.06,1.18
223,22.29,12.06,1.18
224,22.29,12.06,1.18
225,22.16,12.06,1.06
226,22.16,12.06,1.06
227,22.16,12.06,1.06
228,22.16,12.06,1.06
229,22.16,12.06,1.06
230,22.16,12.06,1.06
231,22.16,12.06,1.06
232,22.16,12.06,1.06
233,22.16,12.06,1.06
234,22.16,12.06,1.06
235,22.16,12.06,1.06
236,22.16,12.06,1.06
237,22.16,12.06,1.06
238,22.17,12.06,1.06
239,22.17,12.06,1.06
240,22.17,12.06,1.06
241,22.17,12.06,1.06
242,22.17,12.06,1.06
243,22.17,12.06,1.06
244,22.17,12.06,1.06
245,22.17,12.06,1.06
246,22.17,12.06,1.06
247,22.17,12.06,1.06
248,22.17,12.06,1.06
249,22.17,12.06,1.06
250,22.17,12.06,1.06
251,22.17,12.06,1.06
252,22.17,12.06,1.06
253,22.17,12.06,1.06
254,22.17,12.06,1.06
255,22.17,12.06,1.06
256,22.17,12.06,1.06
257,22.17,12.06,1.06
258,6.14,12.00,0.00
261,6.14,12.00,0.00
262,6.14,11.99,0.00
263,6.14,11.59,0.00
264,6.14,11.59,0.00
265,6.05,93.76,0.00
266,0.06,99.47,0.00
267,1.40,99.95,1.34
268,1.40,99.95,0.66
269,1.47,99.54,0.42
270,1.53,98.48,0.25
271,1.60,97.36,0.06
272,2.98,96.88,1.31
273,3.08,95.28,1.04
274,3.17,93.84,0.80
275,3.27,92.59,0.58
276,3.35,91.31,0.36
277,3.46,89.88,0.11
278,4.84,89.17,1.33
279,4.89,88.33,1.21
280,4.99,86.88,0.97
281,5.10,85.15,0.70
282,5.20,83.70,0.46
283,5.29,82.28,0.23
284,5.38,80.86,0.01
285,6.72,80.80,1.33
286,6.77,80.12,1.23
287,6.87,78.70,0.99
288,6.97,77.05,0.73
289,7.06,75.60,0.50
290,7.17,74.01,0.25
291,8.61,72.48,1.34
292,8.61,72.45,1.34
293,8.70,71.12,1.12
294,8.81,69.39,0.84
295,8.92,67.71,0.57
296,9.02,66.23,0.33
297,9.12,64.75,0.09
298,10.49,64.18,1.34
299,10.53,63.69,1.26
300,10.63,62.10,1.00
301,10.72,60.58,0.77
302,10.82,59.13,0.53
303,10.93,57.41,0.25
304,11.03,55.98,0.03
305,12.38,55.86,1.34
306,12.42,55.13,1.22
307,12.52,53.65,0.98
308,12.62,52.17,0.75
309,12.71,50.66,0.51
310,12.82,49.05,0.25
311,12.91,47.59,0.01
312,14.25,47.53,1.33
313,14.30,46.77,1.21
314,14.39,45.34,0.99
315,14.49,43.87,0.75
316,14.59,42.43,0.52
317,14.69,40.95,0.28
318,14.78,39.44,0.04
319,16.14,39.18,1.33
320,16.17,38.70,1.25
321,16.26,37.30,1.03
322,16.35,35.94,0.81
323,16.44,34.56,0.59
324,16.53,33.27,0.38
325,16.62,31.87,0.16
326,18.02,30.88,1.34
327,18.02,30.85,1.33
328,18.09,29.77,1.16
329,18.19,28.39,0.94
330,18.27,27.02,0.72
331,18.36,25.69,0.51
332,18.45,24.38,0.30
333,18.54,23.04,0.08
334,19.90,22.54,1.34
335,19.92,22.22,1.28
336,20.02,20.76,1.05
337,20.12,19.31,0.81
338,20.21,17.85,0.58
339,20.31,16.34,0.35
340,20.40,14.91,0.11
341,21.79,14.20,1.33
342,21.79,14.20,1.33
343,21.88,12.80,1.11
344,22.28,12.09,1.18
348,22.28,12.09,1.18
349,22.28,12.09,1.18
350,22.28,12.09,1.18
351,22.28,12.09,1.17
352,22.16,12.09,1.06
353,22.16,12.09,1.06
354,22.16,12.09,1.06
355,22.16,12.09,1.06
356,22.18,12.07,1.06
357,22.18,12.07,1.06
358,22.18,12.07,1.06
359,22.18,12.07,1.06
360,22.18,12.07,1.06
361,22.18,12.07,1.06
362,22.18,12.07,1.06
363,22.18,12.07,1.06
364,22.18,12.07,1.06
365,22.18,12.07,1.06
366,22.18,12.07,1.06
367,22.18,12.07,1.06
368,22.18,12.07,1.06
369,22.18,12.07,1.06
370,22.18,12.07,1.06
371,22.18,12.07,1.06
372,22.18,12.07,1.06
373,22.18,12.07,1.06
374,22.18,12.07,1.06
375,22.18,12.07,1.06
376,22.18,12.07,1.06
377,22.18,12.07,1.06
378,22.18,12.07,1.06
379,22.18,12.07,1.06
380,22.18,12.07,1.06
381,22.18,12.07,1.06
382,22.18,12.07,1.06
383,22.18,12.07,1.06
384,22.18,12.07,1.06
385,22.18,12.07,1.06
386,22.18,12.07,1.06
387,22.18,12.07,1.06
388,22.18,12.07,1.06
389,22.18,12.07,1.06
390,6.15,12.01,0.00
393,6.15,12.00,0.00
394,6.15,12.00,0.00
395,6.15,12.00,0.00
396,6.15,11.66,0.00
397,6.15,11.66,0.00
398,6.06,93.99,0.00
399,2.16,97.77,0.00
400,0.06,99.76,0.00
401,1.39,100.17,1.34
402,1.42,100.16,0.58
403,1.50,99.35,0.37
404,1.56,98.33,0.20
405,2.98,97.14,1.34
406,2.98,97.14,1.33
407,3.04,96.38,1.20
408,3.11,95.19,1.01
409,3.20,93.81,0.78
410,3.30,92.53,0.56
411,3.38,91.30,0.35
412,3.47,89.91,0.13
413,4.86,89.10,1.33
414,4.86,89.10,1.33
415,4.95,87.87,1.14
416,5.03,86.49,0.92
417,5.12,85.19,0.71
418,5.20,83.93,0.51
419,5.29,82.56,0.29
420,5.38,81.21,0.07
421,6.75,80.80,1.34
422,6.77,80.30,1.26
423,6.87,78.90,1.04
424,6.96,77.42,0.80
425,7.04,76.14,0.59
426,7.13,74.86,0.39
427,7.23,73.45,0.16
428,8.62,72.40,1.33
429,8.63,72.11,1.29
430,8.69,71.54,1.19
431,8.78,70.12,0.97
432,8.87,68.71,0.74
433,8.96,67.43,0.53
434,9.04,66.02,0.31
435,9.14,64.59,0.07
436,10.51,64.12,1.34
437,10.55,63.48,1.23
438,10.64,62.18,1.03
439,10.73,60.80,0.80
440,10.82,59.46,0.59
441,10.90,58.16,0.38
442,10.99,56.77,0.16
443,12.39,55.80,1.34
444,12.40,55.58,1.31
445,12.49,54.30,1.10
446,12.58,53.00,0.89
447,12.66,51.70,0.68
448,12.76,50.17,0.44
449,12.85,48.84,0.22
450,12.94,47.52,0.01
451,14.28,47.46,1.34
452,14.35,46.27,1.14
453,14.44,44.90,0.92
454,14.53,43.56,0.71
455,14.62,42.12,0.48
456,14.71,40.81,0.27
457,14.79,39.56,0.07
458,16.16,39.13,1.34
459,16.20,38.51,1.23
460,16.29,37.09,1.01
461,16.38,35.69,0.79
462,16.48,34.23,0.55
463,16.57,32.89,0.33
464,16.67,31.37,0.09
465,18.04,30.81,1.33
466,18.07,30.45,1.28
467,18.16,29.05,1.05
468,18.25,27.65,0.83
469,18.35,26.15,0.59
470,18.44,24.71,0.36
471,18.54,23.25,0.13
472,19.92,22.47,1.33
473,19.93,22.45,1.33
474,20.00,21.28,1.14
475,20.10,19.81,0.91
476,20.20,18.37,0.68
477,20.29,16.88,0.44
478,20.39,15.54,0.22
479,20.47,14.18,0.00
480,21.81,14.15,1.34
481,21.88,13.00,1.16
482,22.28,12.12,1.17
487,22.28,12.12,1.17
488,22.30,12.08,1.18
489,22.30,12.08,1.18
490,22.30,12.08,1.18
491,22.18,12.05,1.06
492,22.18,12.05,1.06
493,22.18,12.05,1.06
494,22.18,12.05,1.06
495,22.18,12.05,1.06
496,22.18,12.05,1.06
497,22.18,12.05,1.06
498,22.18,12.05,1.06
499,22.18,12.05,1.06
500,22.18,12.05,1.06
501,22.18,12.05,1.06
502,22.18,12.05,1.06
503,22.18,12.05,1.06
504,22.18,12.05,1.06
505,22.18,12.05,1.06
506,22.18,12.05,1.06
507,22.18,12.05,1.06
508,22.18,12.05,1.06
509,22.18,12.05,1.06
510,22.18,12.05,1.06
511,22.18,12.05,1.06
512,22.18,12.05,1.06
513,22.18,12.05,1.06
514,22.18,12.05,1.06
515,22.18,12.05,1.06
516,22.18,12.05,1.06
517,22.18,12.05,1.06
518,22.18,12.05,1.06
519,22.18,12.05,1.06
520,22.18,12.05,1.06
521,22.18,12.05,1.06
522,18.18,12.05,1.06
523,6.15,11.98,0.00
527,6.15,11.98,0.00
528,6.15,11.98,0.00
529,6.15,11.64,0.00
530,6.15,11.64,0.00
531,6.07,93.77,0.00
532,0.07,99.49,0.00
533,1.41,99.90,1.34
534,1.42,99.90,0.64
535,1.50,99.23,0.40
536,1.60,97.77,0.14
537,2.99,96.99,1.33
538,3.01,96.60,1.28
539,3.09,95.52,1.09
540,3.21,93.70,0.78
541,3.34,91.88,0.47
542,3.47,89.95,0.15
543,4.86,88.99,1.33
544,4.92,88.21,1.21
545,5.01,86.80,0.99
546,5.11,85.34,0.75
547,5.23,83.33,0.43
548,5.33,81.92,0.20
549,6.75,80.67,1.34
550,6.75,80.67,1.34
551,6.83,79.50,1.15
552,6.93,77.98,0.90
553,7.03,76.36,0.65
554,7.14,74.76,0.39
555,7.24,73.11,0.13
556,8.64,72.37,1.34
557,8.67,71.77,1.24
558,8.77,70.32,1.01
559,8.86,68.83,0.78
560,8.96,67.37,0.54
561,9.06,65.88,0.30
562,9.16,64.36,0.05
563,10.51,64.04,1.33
564,10.56,63.46,1.25
565,10.65,62.02,1.02
566,10.75,60.45,0.77
567,10.86,58.83,0.51
568,10.95,57.40,0.27
569,11.06,55.80,0.02
570,12.41,55.56,1.32
571,12.51,54.09,1.08
572,12.60,52.60,0.84
573,12.70,51.11,0.60
574,12.80,49.64,0.37
575,12.89,48.18,0.13
576,14.29,47.35,1.34
577,14.35,46.43,1.19
578,14.45,44.84,0.94
579,14.55,43.41,0.70
580,14.65,41.77,0.44
581,14.76,40.06,0.17
582,16.17,39.05,1.33
583,16.18,38.92,1.32
584,16.29,37.13,1.03
585,16.41,35.37,0.75
586,16.51,33.88,0.51
587,16.62,32.20,0.24
588,18.05,30.70,1.34
589,18.05,30.70,1.33
590,18.16,29.12,1.08
591,18.25,27.64,0.84
592,18.38,25.77,0.54
593,18.49,24.07,0.27
594,19.93,22.35,1.34
595,19.93,22.35,1.33
596,20.05,20.57,1.05
597,20.15,19.09,0.81
598,20.26,17.44,0.54
599,20.36,15.89,0.30
600,20.48,14.13,0.02
601,21.82,14.03,1.34
602,21.91,12.64,1.11
603,22.36,11.97,1.18
606,22.36,11.97,1.18
607,22.36,11.93,1.18
608,22.36,11.93,1.18
609,22.35,11.93,1.17
610,22.23,11.93,1.06
611,22.23,11.93,1.06
612,22.23,11.93,1.06
613,22.23,11.93,1.06
614,22.24,11.93,1.06
615,22.24,11.93,1.06
616,22.24,11.93,1.06
617,22.24,11.93,1.06
618,22.24,11.93,1.06
619,22.24,11.93,1.06
620,22.24,11.93,1.06
621,22.24,11.93,1.06
622,22.24,11.93,1.06
623,22.24,11.93,1.06
624,22.24,11.93,1.06
625,22.24,11.93,1.06
626,22.24,11.93,1.06
627,22.24,11.93,1.06
628,22.24,11.93,1.06
629,22.24,11.93,1.06
630,22.24,11.93,1.06
631,22.24,11.93,1.06
632,22.24,11.93,1.06
633,22.24,11.93,1.06
634,22.24,11.93,1.06
635,22.24,11.93,1.06
636,22.24,11.93,1.06
637,22.24,11.93,1.06
638,22.24,11.93,1.06
639,22.24,11.93,1.06
640,22.24,11.93,1.06
641,22.24,11.93,1.06
642,22.24,11.93,1.06
643,12.89,11.93,1.06
644,6.21,11.87,0.00
647,6.21,11.87,0.00
648,6.21,11.87,0.00
649,6.21,11.55,0.00
650,6.21,11.55,0.00
651,6.12,93.59,0.00
652,0.14,99.30,0.00
653,1.47,99.67,1.34
654,1.49,99.66,0.60
655,1.55,99.27,0.42
656,1.64,98.01,0.21
657,3.05,96.76,1.34
658,3.05,96.76,1.33
659,3.13,95.67,1.15
660,3.22,94.42,0.94
661,3.31,93.08,0.72
662,3.40,91.77,0.50
663,3.48,90.55,0.28
664,3.57,89.25,0.07
665,4.93,88.83,1.33
666,4.97,88.31,1.26
667,5.05,86.99,1.04
668,5.15,85.63,0.82
669,5.23,84.21,0.60
670,5.33,82.85,0.37
671,5.41,81.51,0.16
672,6.81,80.52,1.33
673,6.81,80.52,1.33
674,6.89,79.38,1.15
675,6.97,78.12,0.95
676,7.06,76.88,0.75
677,7.14,75.52,0.53
678,7.24,74.17,0.32
679,7.32,72.77,0.10
680,8.70,72.18,1.33
681,8.72,71.87,1.29
682,8.81,70.52,1.07
683,8.91,68.98,0.82
684,9.01,67.46,0.58
685,9.11,65.98,0.34
686,9.20,64.54,0.11
687,10.58,63.88,1.33
688,10.58,63.88,1.33
689,10.67,62.50,1.11
690,10.77,61.02,0.88
691,10.86,59.55,0.65
692,10.95,58.20,0.43
693,11.04,56.87,0.21
694,12.46,55.57,1.34
695,12.46,55.54,1.34
696,12.54,54.46,1.16
697,12.61,53.30,0.98
698,12.70,51.95,0.76
699,12.79,50.62,0.54
700,12.87,49.41,0.34
701,12.97,47.87,0.10
702,14.35,47.25,1.34
703,14.36,47.02,1.30
704,14.45,45.68,1.09
705,14.54,44.36,0.88
706,14.63,42.91,0.65
707,14.72,41.53,0.42
708,14.82,40.16,0.20
709,16.23,38.93,1.34
710,16.26,38.82,1.33
711,16.32,37.88,1.19
712,16.41,36.52,0.96
713,16.50,35.11,0.74
714,16.59,33.78,0.52
715,16.68,32.45,0.31
716,16.78,31.01,0.08
717,18.14,30.52,1.34
718,18.16,30.21,1.29
719,18.26,28.84,1.06
720,18.34,27.48,0.85
721,18.43,26.16,0.64
722,18.52,24.85,0.43
723,18.59,23.72,0.25
724,18.69,22.26,0.01
725,20.03,22.20,1.34
726,20.09,21.24,1.18
727,20.18,19.88,0.96
728,20.27,18.49,0.74
729,20.34,17.38,0.56
730,20.43,16.04,0.35
731,20.53,14.61,0.12
732,21.91,13.87,1.34
733,21.91,13.80,1.33
734,22.00,12.52,1.12
735,22.40,11.80,1.18
739,22.40,11.80,1.18
740,22.40,11.80,1.18
741,22.41,11.80,1.18
742,22.41,11.80,1.18
