Time,M_C,ExtFrag,IntFrag
1,0.13,26.02,0.00
2,0.27,25.88,0.00
3,0.37,25.78,0.00
4,0.50,25.65,0.00
5,0.63,25.52,0.00
6,0.73,25.41,0.00
7,0.87,25.27,0.00
8,1.00,25.14,0.00
9,1.13,25.00,0.00
10,1.25,24.88,0.00
11,1.38,24.73,0.00
12,1.52,24.60,0.00
13,1.65,24.46,0.00
14,1.78,24.34,0.00
15,1.91,24.21,0.00
16,2.05,24.07,0.00
17,2.18,23.91,0.00
18,2.30,23.80,0.00
19,2.43,23.66,0.00
20,2.56,23.54,0.00
21,2.66,23.44,0.00
22,2.79,23.31,0.00
23,2.92,23.17,0.00
24,3.06,23.04,0.00
25,3.19,22.89,0.00
26,3.30,22.78,0.00
27,3.40,22.69,0.00
28,3.50,22.59,0.00
29,3.60,22.48,0.00
30,3.70,22.38,0.00
31,3.83,22.25,0.00
32,3.95,22.12,0.00
33,4.05,22.02,0.00
34,4.15,21.92,0.00
35,4.26,21.82,0.00
36,4.40,21.67,0.00
37,4.51,21.55,0.00
38,4.63,21.42,0.00
39,4.74,21.30,0.00
40,4.86,21.18,0.00
41,4.98,21.06,0.00
42,5.11,20.94,0.01
43,5.24,20.80,0.01
44,5.36,20.69,0.01
45,5.47,20.57,0.01
46,5.59,20.45,0.01
47,5.70,20.34,0.01
48,5.83,20.21,0.01
49,5.95,20.09,0.01
50,6.06,19.97,0.01
51,6.19,19.84,0.01
52,6.32,19.71,0.01
53,6.43,19.60,0.01
54,6.55,19.48,0.01
55,6.65,19.37,0.01
56,6.78,19.24,0.01
57,6.90,19.11,0.01
58,7.05,18.97,0.01
59,7.16,18.86,0.01
60,7.27,18.74,0.01
61,7.40,18.61,0.01
62,7.51,18.50,0.01
63,7.62,18.39,0.01
64,7.73,18.25,0.01
65,7.84,18.13,0.01
66,8.05,17.92,0.01
67,8.23,17.74,0.01
68,8.38,17.59,0.01
69,8.58,17.39,0.01
70,8.78,17.20,0.01
71,8.96,17.00,0.01
72,9.15,16.80,0.01
73,9.34,16.61,0.01
74,9.59,16.36,0.01
75,9.79,16.15,0.01
76,9.98,15.97,0.01
77,10.18,15.77,0.01
78,10.38,15.55,0.01
79,10.58,15.35,0.01
80,10.78,15.15,0.01
81,11.02,14.91,0.01
82,11.22,14.70,0.01
83,11.42,14.50,0.01
84,11.62,14.28,0.01
85,11.81,14.10,0.01
86,12.00,13.91,0.01
87,12.14,13.77,0.01
88,12.33,13.57,0.01
89,12.53,13.38,0.01
90,12.71,13.19,0.01
91,12.93,12.97,0.01
92,13.12,12.77,0.01
93,13.30,12.59,0.01
94,13.51,12.38,0.01
95,13.71,12.17,0.01
96,13.90,11.98,0.01
97,14.05,11.84,0.01
98,14.25,11.63,0.01
99,14.43,11.45,0.01
100,14.61,11.27,0.01
101,14.79,11.08,0.01
102,15.00,10.86,0.01
103,15.16,10.70,0.01
104,15.33,10.53,0.02
105,15.54,10.32,0.02
106,15.73,10.12,0.02
107,15.95,9.91,0.02
108,16.18,9.66,0.02
109,16.38,9.47,0.02
110,16.55,9.29,0.02
111,16.73,9.09,0.02
112,16.93,8.90,0.02
113,17.12,8.71,0.02
114,17.29,8.52,0.02
115,17.42,8.41,0.02
116,17.57,8.25,0.02
117,17.78,8.04,0.02
118,17.92,7.90,0.02
119,18.06,7.76,0.02
120,18.24,7.56,0.02
121,18.42,7.39,0.02
122,18.62,7.18,0.02
123,18.81,6.99,0.02
124,18.98,6.81,0.02
125,19.16,6.62,0.02
126,19.33,6.46,0.02
127,19.51,6.27,0.02
128,13.19,12.44,0.01
129,1.31,24.20,0.00
130,0.18,25.54,0.00
