G,T_C,T_L,Theta,T_A,T_D
256,1980.23,102197.11,1292.78,250.69,5.44
256,1958.30,101801.74,1307.25,245.84,5.40
256,2167.50,103874.70,1181.08,261.55,5.36
256,2001.93,102294.80,1278.76,246.39,5.41
256,1997.28,103454.20,1281.74,247.22,5.44
256,2073.45,103502.09,1234.66,256.63,5.39
256,2083.21,103558.30,1228.87,252.48,5.39
256,1857.37,102373.92,1378.30,235.78,5.46
256,2076.06,103485.83,1233.11,254.49,5.40
256,2108.63,105061.06,1214.06,261.15,5.38
