G,T_C,T_L,Theta,T_A,T_D
128,998.29,48282.75,1282.19,125.09,2.69
128,996.97,48694.61,1283.89,125.26,2.70
128,866.91,47027.22,1476.51,115.11,2.68
128,873.04,47604.63,1466.14,113.35,2.70
128,871.44,47466.86,1468.83,117.34,2.73
128,966.69,48472.55,1324.10,121.58,2.75
128,938.02,47518.08,1364.57,126.59,2.71
128,950.43,47695.63,1346.75,118.10,2.68
128,884.61,46664.95,1446.97,120.55,2.70
128,857.41,47648.62,1492.87,118.37,2.72
