G,T_C,T_L,Theta,T_A,T_D,T_C_ERR,T_L_ERR,Theta_ERR,T_A_ERR,T_D_ERR
1,2.77,3.42,3625.53,0.51,0.03,0.05,0.10,61.00,0.03,0.01
16,73.09,905.12,2219.91,12.97,0.37,2.77,32.76,91.24,0.50,0.00
32,152.06,3539.98,2118.47,30.53,0.90,3.95,104.71,60.31,0.50,0.00
64,340.91,14211.26,1889.27,59.92,1.50,9.41,204.32,48.32,1.73,0.00
128,920.38,47707.59,1395.28,120.13,2.71,17.65,198.56,26.41,1.42,0.01
256,2030.40,103160.38,1263.06,251.22,5.41,28.13,311.48,17.86,2.48,0.01
