G,T_C,T_L,Theta,T_A,T_D
1,2.74,3.73,3650.91,0.38,0.06
1,2.83,3.78,3531.21,0.38,0.05
1,2.87,3.88,3481.27,0.44,0.05
1,2.68,3.13,3729.05,0.56,0.03
1,3.04,3.68,3292.32,0.62,0.02
1,2.94,3.52,3400.69,0.53,0.02
1,2.64,3.06,3794.66,0.58,0.02
1,2.59,3.04,3864.08,0.56,0.03
1,2.61,3.11,3835.85,0.51,0.02
1,2.72,3.24,3675.23,0.50,0.01
