G,T_C,T_L,Theta,T_A,T_D
32,129.20,3624.15,2476.86,19.11,1.66
32,117.50,3383.02,2723.47,17.06,2.08
32,148.91,3962.63,2148.99,21.93,1.77
32,128.59,3491.09,2488.45,18.37,1.50
32,115.73,3342.92,2765.01,16.60,1.53
32,112.32,3204.81,2849.09,16.62,1.74
32,121.16,3422.85,2641.12,17.64,1.80
32,109.18,3275.84,2931.04,15.92,1.88
32,128.76,3446.59,2485.17,18.82,1.66
32,112.90,3146.19,2834.39,16.34,1.57
