,G,T_C,T_L,Theta,T_A,T_D,T_C_p,T_L_p,Theta_p,T_A_p,T_D_p
0,1,0.6142638177920462,-1.3269690848773543,-0.6303905554646709,-0.3904197098870298,15.033600392714465,0.5542493414387915,0.21719762841018553,0.5441112571681888,0.7053061649724799,1.1063895557955699e-07
1,16,-3.9865572014820523,-1.8344654636127284,3.9336444561093886,-7.450516651019523,10.374064008334168,0.0031741934529501137,0.09978537544140607,0.0034389659046330573,3.890028567500712e-05,2.6336617148296613e-06
2,32,-5.748937355751969,-0.8164138056643744,5.529521634398086,-20.037649816651747,14.581765118498081,0.00027666662328713415,0.43533942301842865,0.00036595902954575306,8.930148899859883e-09,1.4417999385060127e-07
3,64,-2.9881967585737343,-1.0447815802993503,3.1052489765685265,-11.870785256689032,7.788476371827558,0.015245452425507537,0.32337270332537216,0.012615166068227317,8.443303499851087e-07,2.740132416401693e-05
4,128,-3.986628056713869,-0.7531028664592069,3.947453016002981,-25.13280353035952,11.383795656730978,0.0031738537447906566,0.4706282492860825,0.0033676860148949997,1.2010589586685425e-09,1.204865779762303e-06
5,256,-13.688678593767877,-2.7540037078390216,14.539333415359296,-48.239852865944606,21.41777599949453,2.4902404567106286e-07,0.022330088603379265,1.478677624052561e-07,3.542900006799739e-12,4.9588010862246215e-09
