G,T_C,T_L,Theta,T_A,T_D,T_C_ERR,T_L_ERR,Theta_ERR,T_A_ERR,T_D_ERR
1,2.81,3.23,3563.50,0.49,0.23,0.05,0.07,60.04,0.02,0.02
16,61.78,849.16,2601.66,9.47,1.04,1.43,10.54,57.73,0.30,0.06
32,122.42,3430.01,2634.36,17.84,1.72,3.75,73.81,74.77,0.57,0.06
64,295.57,13805.22,2196.38,35.13,2.89,11.96,310.25,85.86,1.09,0.18
128,805.82,47360.43,1600.08,72.79,5.86,22.83,410.82,45.74,1.32,0.28
256,1727.76,102114.57,1483.63,145.18,11.83,20.99,261.09,17.75,1.58,0.30
